time,btc_price,daily_active_addresses,whale_vol_btc,whale_vol_usd,whale_tx_count
01-06-2021 00:00,"36,624","5,82,772","11,98,531","43,89,51,55,772","1,123"
02-06-2021 00:00,"37,359","7,24,914","8,59,022","32,09,20,13,153","1,049"
03-06-2021 00:00,"38,600","6,69,661","9,18,914","35,47,02,53,963","1,063"
04-06-2021 00:00,"37,147","5,74,084","7,53,419","27,98,72,59,110","1,020"
05-06-2021 00:00,"36,639","4,45,624","5,57,052","20,40,97,01,967",715
06-06-2021 00:00,"36,008","4,46,151","15,94,312","57,40,86,58,174",985
07-06-2021 00:00,"35,934","5,68,623","18,56,320","66,70,53,31,758","1,591"
08-06-2021 00:00,"32,960","6,63,397","21,99,372","72,49,10,89,234","1,899"
09-06-2021 00:00,"34,892","4,58,562","10,23,758","35,72,08,46,368","1,120"
10-06-2021 00:00,"37,037","5,29,300","11,05,032","40,92,73,68,220","1,153"
11-06-2021 00:00,"37,034","4,99,227","11,86,181","43,92,91,27,408",876
12-06-2021 00:00,"35,782","6,56,791","7,93,810","28,40,44,52,127",602
13-06-2021 00:00,"36,413","4,99,242","9,96,443","36,28,38,65,609",604
14-06-2021 00:00,"39,689","5,70,807","12,04,009","47,78,56,61,094","1,009"
15-06-2021 00:00,"40,231","5,75,722","11,00,585","44,27,81,50,690",827
16-06-2021 00:00,"39,463","6,18,869","13,11,735","51,76,49,04,929",873
17-06-2021 00:00,"38,636","5,53,468","13,03,166","50,34,92,69,829",978
18-06-2021 00:00,"37,041","5,14,780","12,93,539","47,91,41,00,994","1,021"
19-06-2021 00:00,"35,797","4,14,824","8,74,968","31,32,12,33,575",783
20-06-2021 00:00,"35,126","4,00,703","10,75,190","37,76,69,46,013",891
21-06-2021 00:00,"33,226","4,71,533","14,39,791","47,83,90,03,295","1,564"
22-06-2021 00:00,"32,083","4,47,465","16,19,204","51,94,94,06,496","1,842"
23-06-2021 00:00,"33,799","5,13,769","15,16,189","51,24,55,82,224","1,172"
24-06-2021 00:00,"33,802","5,24,871","15,75,310","53,24,84,64,682","1,229"
25-06-2021 00:00,"33,433","5,45,701","20,96,282","70,08,58,67,935","2,384"
26-06-2021 00:00,"31,540.60","4,29,023","15,37,356","48,48,90,72,831","1,676"
27-06-2021 00:00,"33,111.40","2,64,886","10,95,063.10","36,25,90,56,249.10","1,047"
28-06-2021 00:00,"34,518.80","4,31,135","13,86,607.10","47,86,40,78,717.80","1,546"
29-06-2021 00:00,"35,592.80","4,36,416","11,01,973.80","39,22,22,86,744.10","1,442"
30-06-2021 00:00,"34,991.80","4,28,243","9,27,838.20","32,46,67,62,973.40","1,005"
01-07-2021 00:00,"33,766","4,32,633","13,75,557.50","46,44,70,24,624.30","1,138"
02-07-2021 00:00,"33,312.40","4,72,344","14,61,942.90","48,70,08,09,741.90","1,229"
03-07-2021 00:00,"34,317","6,52,120","10,21,248.80","35,04,61,86,154.50",948
04-07-2021 00:00,"35,299.70","5,94,171","13,33,661","47,07,78,93,858.60","1,471"
05-07-2021 00:00,"34,124.70","6,18,438","11,71,324.90","39,97,11,25,535.90",871
06-07-2021 00:00,"34,189.40","5,18,589","10,36,584.90","35,44,01,72,189.40",980
07-07-2021 00:00,"34,592.40","4,97,150","10,42,145.90","36,05,03,13,010.30",929
08-07-2021 00:00,"32,935.60","4,90,676","29,38,166.60","96,77,01,63,445.60","1,123"
09-07-2021 00:00,"33,196","5,45,484","31,48,912.90","1,04,53,13,38,540","1,286"
10-07-2021 00:00,"33,727.60","4,28,092","16,28,742.80","54,93,35,63,744.60","1,495"
11-07-2021 00:00,"33,819.10","4,72,581","16,55,681.40","55,99,37,07,587.20",784
12-07-2021 00:00,"33,724.40","5,27,237","14,02,399","47,29,50,44,588.40","1,126"
13-07-2021 00:00,"32,883.20","5,27,380","12,14,275.60","39,92,92,94,692.90","1,025"
14-07-2021 00:00,"32,523.30","5,18,474","12,13,559.10","39,46,89,47,786.40","1,287"
15-07-2021 00:00,"32,158.70","5,40,981","15,63,786","50,28,93,34,808.60","1,407"
16-07-2021 00:00,"31,793","4,79,482","15,74,473","50,05,71,74,340.30",973
17-07-2021 00:00,"31,608.70","3,96,440","16,20,096.70","51,20,91,81,622",986
18-07-2021 00:00,"31,808.60","4,19,071","9,96,628.50","31,70,13,15,823.30",593
19-07-2021 00:00,"31,220.10","5,68,244","15,45,462.70","48,24,94,23,069","1,146"
20-07-2021 00:00,"29,894.90","5,36,740","14,97,646.40","44,77,20,21,286.90","1,336"
21-07-2021 00:00,"31,230.50","5,34,232","15,77,638.50","49,27,04,31,671.60","1,218"
22-07-2021 00:00,"32,184.90","5,35,078","15,38,479.80","49,51,57,56,018.40",899
23-07-2021 00:00,"32,532.30","5,00,657","14,95,530.40","48,65,30,39,585",801
24-07-2021 00:00,"33,907.60","4,59,667","12,82,770.70","43,49,57,28,781.40",571
25-07-2021 00:00,"34,392.30","4,01,441","12,71,535.60","43,73,10,91,219",507
26-07-2021 00:00,"38,301.40","6,16,546","19,57,044.80","74,95,74,68,857.90","1,386"
27-07-2021 00:00,"37,677.90","6,31,994","70,99,056.50","2,67,47,74,14,790.90","1,409"
28-07-2021 00:00,"39,865","5,75,224","37,60,340.40","1,49,90,59,11,882.90","1,145"
29-07-2021 00:00,"39,893.20","5,84,629","23,54,748.60","93,93,83,47,378.80",928
30-07-2021 00:00,"39,652","5,44,469","15,40,085.30","61,06,74,70,614.40","1,019"
31-07-2021 00:00,"41,635.10","4,56,717","18,25,044.30","75,98,59,20,366.60",750
01-08-2021 00:00,"41,501.60","4,22,284","30,88,685.30","1,28,18,54,42,743",900
02-08-2021 00:00,"39,639.10","6,14,770","24,34,408.50","96,49,76,46,462.60",991
03-08-2021 00:00,"38,510.50","5,46,908","22,11,260","85,15,67,34,724.80",933
04-08-2021 00:00,"38,758.30","5,47,182","20,93,785.30","81,15,15,59,921.10","1,160"
05-08-2021 00:00,"39,472.50","5,29,215","15,69,858.10","61,96,61,98,035.60","1,087"
06-08-2021 00:00,"41,381.40","6,14,618","17,39,545.30","71,98,48,00,515.90","1,208"
07-08-2021 00:00,"43,547","4,64,377","16,67,646.50","72,62,09,52,457.50",770
