time,eth_price,daily_active_addresses,whale_vol_eth,whale_vol_usd,whale_tx_count
01-06-2021 00:00,2612.170896,"4,06,543",2032025.659,"5,30,79,98,287.80",303
02-06-2021 00:00,2697.221039,"4,24,584",1303788.001,"3,51,66,04,427.30",355
03-06-2021 00:00,2802.167645,"4,59,923",1407796.586,"3,94,48,82,045.60",378
04-06-2021 00:00,2685.331228,"4,53,031",1414475.218,"3,79,83,34,475.10",361
05-06-2021 00:00,2692.147525,"4,29,481",771790.1374,"2,07,77,72,908.50",202
06-06-2021 00:00,2693.565006,"4,15,308",399334.9785,"1,07,56,34,724",140
07-06-2021 00:00,2752.332348,"4,05,326",680366.661,"1,87,25,95,170",250
08-06-2021 00:00,2500.78916,"3,71,126",2388088.35,"5,97,21,05,460.30",464
09-06-2021 00:00,2527.430997,"3,75,240",2029096.695,"5,12,84,01,883",793
10-06-2021 00:00,2531.187074,"3,76,810",891668.4812,"2,25,69,79,733.80",219
11-06-2021 00:00,2434.80173,"3,59,015",941685.3687,"2,29,28,17,164.60",222
12-06-2021 00:00,2366.488908,"3,64,813",641631.9707,"1,51,84,14,941.60",178
13-06-2021 00:00,2393.544056,"3,96,480",484163.6037,"1,15,88,66,915.90",169
14-06-2021 00:00,2522.161591,"3,81,694",1353465.806,"3,41,36,59,471.10",328
15-06-2021 00:00,2579.611626,"3,85,052",943304.7266,"2,43,33,59,839.30",252
16-06-2021 00:00,2472.960025,"3,81,953",1745296.626,"4,31,60,48,788",242
17-06-2021 00:00,2396.903018,"3,62,925",1228972.171,"2,94,57,27,104.20",203
18-06-2021 00:00,2283.282914,"3,53,055",1475567.717,"3,36,91,38,556.80",434
19-06-2021 00:00,2228.177408,"3,21,508",459026.9204,"1,02,27,93,414",149
20-06-2021 00:00,2171.470439,"3,28,950",607036.3056,"1,31,81,61,392.80",195
21-06-2021 00:00,2022.481626,"3,52,494",2151571.662,"4,35,15,14,152.50",629
22-06-2021 00:00,1899.998712,"3,80,532",3198753.628,"6,07,76,27,774.10",866
23-06-2021 00:00,1982.88095,"3,87,639",953744.677,"1,89,11,62,151.20",305
24-06-2021 00:00,1963.756086,"4,01,535",1427814.812,"2,80,38,80,027.10",278
25-06-2021 00:00,1901.325253,"3,90,749",1510529.478,"2,87,20,07,841.70",347
26-06-2021 00:00,1791.24798,"3,75,606",478065.1732,"85,63,33,275.70",153
27-06-2021 00:00,1856.671957,"3,48,985",611085.3748,"1,13,45,85,078.80",248
28-06-2021 00:00,2039.603368,"4,00,152",937885.4975,"1,91,29,14,419.50",301
29-06-2021 00:00,2172.47917,"4,15,942",1048969.559,"2,27,88,64,516.90",248
30-06-2021 00:00,2165.471954,"3,97,971",979902.2218,"2,12,19,50,778.90",263
01-07-2021 00:00,2149.687311,"4,03,853",1910536.454,"4,10,70,55,970.80",310
02-07-2021 00:00,2081.669252,"3,82,771",1669204.519,"3,47,47,31,722.60",203
03-07-2021 00:00,2193.01614,"3,52,208",279392.8179,"61,27,12,958.90",106
04-07-2021 00:00,2306.609571,"3,51,506",397583.9439,"91,70,70,930.10",116
05-07-2021 00:00,2250.923914,"3,67,542",460374.3433,"1,03,62,67,618.70",174
06-07-2021 00:00,2295.603277,"3,62,096",855699.2163,"1,96,43,45,924.70",225
07-07-2021 00:00,2361.484785,"3,70,037",1104712.702,"2,60,87,62,237.10",239
08-07-2021 00:00,2189.103914,"3,63,670",1696488.413,"3,71,37,89,425.70",342
09-07-2021 00:00,2127.29846,"3,64,124",1058822.473,"2,25,24,31,416.40",290
10-07-2021 00:00,2119.834283,"3,38,749",694852.5688,"1,47,29,72,297.30",159
11-07-2021 00:00,2124.498709,"3,39,122",222758.1324,"47,32,49,364.70",97
12-07-2021 00:00,2100.916657,"3,50,298",1223034.568,"2,56,94,93,697",279
13-07-2021 00:00,1996.258832,"3,43,481",880659.1444,"1,75,80,23,595.10",232
14-07-2021 00:00,1952.236234,"3,51,040",1546063.682,"3,01,82,81,540.10",258
15-07-2021 00:00,1945.29959,"3,64,675",872557.8815,"1,69,73,86,488.80",226
16-07-2021 00:00,1911.168715,"3,52,393",1760504.283,"3,36,46,20,709.60",222
17-07-2021 00:00,1888.798526,"3,49,277",487746.2383,"92,12,54,375.90",154
18-07-2021 00:00,1942.137191,"3,37,794",436924.3532,"84,85,67,035.90",122
19-07-2021 00:00,1857.702478,"3,55,785",988177.4457,"1,83,57,39,689.40",253
20-07-2021 00:00,1772.400799,"3,63,036",982424.4927,"1,74,12,49,955.50",350
21-07-2021 00:00,1899.099918,"3,75,245",1514779.116,"2,87,67,16,894.20",329
22-07-2021 00:00,2002.416272,"3,72,428",1234704.714,"2,47,23,92,809.70",256
23-07-2021 00:00,2055.749583,"3,81,569",865552.7228,"1,77,93,59,649.20",208
24-07-2021 00:00,2150.375439,"4,04,041",443172.4917,"95,29,87,241.20",147
25-07-2021 00:00,2159.9128,"3,57,282",259353.2563,"56,01,80,417.90",94
26-07-2021 00:00,2322.406783,"3,86,726",1528002.156,"3,54,86,42,573.30",488
27-07-2021 00:00,2234.757254,"3,97,694",1161302.533,"2,59,52,29,260.20",316
28-07-2021 00:00,2297.14191,"4,02,301",897046.7241,"2,06,06,43,624.90",195
29-07-2021 00:00,2309.563056,"4,06,870",1255665.697,"2,90,00,39,104.50",223
30-07-2021 00:00,2383.945805,"4,01,321",1128708.837,"2,69,07,80,697.20",243
31-07-2021 00:00,2464.662386,"3,89,806",1085812.999,"2,67,61,62,457.80",132
01-08-2021 00:00,2597.871411,"3,74,886",654920.272,"1,70,13,98,651.10",183
02-08-2021 00:00,2598.552705,"4,17,042",706591.6081,"1,83,61,15,534.60",253
03-08-2021 00:00,2511.503924,"3,69,379",1060699.752,"2,66,39,51,590.10",252
04-08-2021 00:00,2586.376111,"3,67,790",1216152.856,"3,14,54,28,693.30",301
05-08-2021 00:00,2724.453147,"3,41,102",1139690.621,"3,10,50,33,698.20",321
06-08-2021 00:00,2819.270546,"3,69,046",1113862.782,"3,14,02,80,532.60",279
07-08-2021 00:00,3026.326474,"3,52,714",766014.0136,"2,31,82,08,488.80",201
08-08-2021 00:00,3084.465426,"3,54,532",574873.8433,"1,77,31,78,494.10",171
09-08-2021 00:00,3053.637955,"3,47,478",1544013.837,"4,71,48,59,255.60",351
10-08-2021 00:00,3132.859091,"3,49,752",992800.253,"3,11,03,03,298",246
11-08-2021 00:00,3207.423662,"3,53,103",669593.5924,"2,14,76,70,331.90",168
12-08-2021 00:00,3108.940174,"3,43,532",789243.6722,"2,45,37,11,359.30",196
13-08-2021 00:00,3200.732541,"3,44,368",972441.5521,"3,11,25,25,320",222
14-08-2021 00:00,3273.480657,"3,31,869",524771.8608,"1,71,78,30,535.50",105
15-08-2021 00:00,3211.662686,"3,28,245",658223.5191,"2,11,39,91,915.60",139
16-08-2021 00:00,3250.582191,"3,72,526",1172530.221,"3,81,14,05,855.10",239
17-08-2021 00:00,3164.920925,"3,62,219",973045.6613,"3,07,96,12,574.40",240
18-08-2021 00:00,3048.298636,"3,49,822",787852.824,"2,40,16,10,689.20",196
19-08-2021 00:00,3046.091285,"3,90,173",782422.4611,"2,38,33,30,239.80",195
20-08-2021 00:00,3236.513488,"3,85,726",1222345.864,"3,95,61,38,876.70",243
21-08-2021 00:00,3267.664978,"3,64,732",407525.9684,"1,33,16,58,334.60",112
22-08-2021 00:00,3221.245211,"3,46,615",510248.063,"1,64,36,34,129.50",155
23-08-2021 00:00,3323.567371,"3,58,399",1090419.557,"3,62,40,82,861.30",251
24-08-2021 00:00,3274.983485,"3,39,322",1692160.121,"5,54,17,96,450.10",259
25-08-2021 00:00,3189.692532,"3,15,045",1288394.687,"4,10,95,82,911.60",205
26-08-2021 00:00,3133.560101,"3,21,422",728849.8942,"2,28,38,94,948",184
27-08-2021 00:00,3173.177128,"3,05,308",978083.721,"3,10,36,32,892.10",194
28-08-2021 00:00,3246.205735,"3,24,932",497488.8574,"1,61,49,51,182.30",109
29-08-2021 00:00,3219.670205,"3,19,691",594014.6891,"1,91,25,31,396",99
30-08-2021 00:00,3222.312803,"3,31,161",827225.9961,"2,66,55,80,918.10",243
31-08-2021 00:00,3335.54179,"3,46,135",1304985.085,"4,35,28,32,285.90",364
01-09-2021 00:00,3573.458163,"3,51,390",1197248.487,"4,27,83,17,380.30",281
02-09-2021 00:00,3773.739489,"3,62,179",1701514.001,"6,42,10,70,577.60",401
03-09-2021 00:00,3888.157421,"3,24,030",1122666.615,"4,36,51,04,531.20",280
04-09-2021 00:00,3909.588671,"3,29,421",644714.6002,"2,52,05,68,897",156
05-09-2021 00:00,3909.433611,"3,18,746",438507.9015,"1,71,43,17,528.90",111
06-09-2021 00:00,3932.01429,"3,36,295",824450.3671,"3,24,17,50,624.50",210
07-09-2021 00:00,3692.704359,"3,61,882",1669904.256,"6,16,64,62,725.90",477
08-09-2021 00:00,3440.978961,"3,31,120",1226624.201,"4,22,07,88,068.80",257
09-09-2021 00:00,3495.770208,"3,39,678",1407076.707,"4,91,88,16,833.70",136
10-09-2021 00:00,3368.887396,"3,82,055",1279528.285,"4,31,05,86,712.80",250
11-09-2021 00:00,3288.15273,"4,53,744",1408972.671,"4,63,29,17,334.60",184
12-09-2021 00:00,3374.992967,"3,93,329",431029.8325,"1,45,47,22,653.20",110
13-09-2021 00:00,3263.137352,"4,60,496",807854.2939,"2,63,61,39,521.20",216
14-09-2021 00:00,3340.561474,"3,88,779",797696.0533,"2,66,47,52,703.80",135
15-09-2021 00:00,3458.523769,"3,87,101",1743610.215,"6,03,03,17,372.80",172
16-09-2021 00:00,3597.205761,"3,67,335",675729.1399,"2,43,07,36,754.70",156
17-09-2021 00:00,3483.886635,"3,60,917",1290156.132,"4,49,47,57,707.10",172
18-09-2021 00:00,3463.363842,"3,57,364",786349.3955,"2,72,34,14,063.20",106
19-09-2021 00:00,3385.935754,"3,43,933",470173.6035,"1,59,19,77,614.80",101
20-09-2021 00:00,3123.081705,"3,21,957",1522928.624,"4,75,62,30,523.40",335
21-09-2021 00:00,2968.453636,"3,53,664",1501024.631,"4,45,57,22,024.70",364
22-09-2021 00:00,2946.841525,"3,57,673",1125386.782,"3,31,63,36,499.50",271
23-09-2021 00:00,3113.611916,"3,52,228",1018097.319,"3,16,99,59,944.60",173
24-09-2021 00:00,2974.186193,"3,29,640",2288891.75,"6,80,75,90,241.90",307
25-09-2021 00:00,2918.199009,"3,47,495",328061.2458,"95,73,48,002.30",116
26-09-2021 00:00,2957.962711,"3,11,547",2503587.467,"7,40,55,18,372.60",167
27-09-2021 00:00,3070.017806,"3,23,702",729468.9469,"2,23,94,82,655.90",203
28-09-2021 00:00,2900.364665,"3,11,619",605716.5587,"1,75,67,98,904.20",172
29-09-2021 00:00,2880.26821,"3,29,118",616457.2589,"1,77,55,62,245.90",168
30-09-2021 00:00,2990.487408,"3,15,000",528789.51,"1,58,13,38,371.40",178
01-10-2021 00:00,3166.867765,"3,46,672",890024.3524,"2,81,85,89,431.80",234
02-10-2021 00:00,3343.71286,"3,42,780",513125.1874,"1,71,57,43,288",114
03-10-2021 00:00,3415.008949,"3,38,364",401113.2371,"1,36,98,05,294.20",96
04-10-2021 00:00,3368.913138,"3,11,635",740851.1215,"2,49,58,63,076.10",177
05-10-2021 00:00,3437.653848,"3,70,772",1450574.337,"4,98,65,72,451.70",220
06-10-2021 00:00,3516.285107,"3,85,775",1060219.284,"3,72,80,33,280.50",228
07-10-2021 00:00,3577.761891,"4,29,605",1191200.41,"4,26,18,31,431.70",234
08-10-2021 00:00,3606.166951,"4,09,851",1218989.742,"4,39,58,80,520.70",208
09-10-2021 00:00,3594.944381,"3,82,700",261701.6225,"94,08,02,777.40",67
10-10-2021 00:00,3545.711414,"3,59,582",340291.9437,"1,20,65,77,029",73
11-10-2021 00:00,3541.477762,"3,65,687",534822.8012,"1,89,40,63,057.10",155
12-10-2021 00:00,3488.929375,"3,63,004",695298.4352,"2,42,58,47,134.90",165
13-10-2021 00:00,3499.707159,"3,46,687",1096290.254,"3,83,66,94,849.80",179
14-10-2021 00:00,3706.984141,"3,66,400",1868550.767,"6,92,66,88,060.10",243
15-10-2021 00:00,3817.635221,"3,61,023",1213553.966,"4,63,29,06,363.40",241
16-10-2021 00:00,3873.691004,"3,77,682",589491.3987,"2,28,35,07,528",137
17-10-2021 00:00,3841.102775,"3,68,586",481524.9116,"1,84,95,86,674",92
18-10-2021 00:00,3798.592639,"3,72,174",805041.7825,"3,05,80,25,789",217
19-10-2021 00:00,3806.187951,"3,97,281",754841.7619,"2,87,30,69,619.40",192
20-10-2021 00:00,3957.773292,"4,15,085",938589.894,"3,71,47,26,014.90",225
21-10-2021 00:00,4159.710862,"4,09,648",1509899.866,"6,28,07,46,873.40",321
22-10-2021 00:00,4074.01416,"4,06,953",1231533.716,"5,01,72,85,798.90",217
23-10-2021 00:00,4045.306474,"4,29,175",575342.2501,"2,32,74,35,729.10",114
24-10-2021 00:00,4087.778883,"4,12,558",271907.7845,"1,11,14,98,899.30",67
25-10-2021 00:00,4149.368952,"3,99,448",579628.5505,"2,40,50,92,711.30",158
26-10-2021 00:00,4262.32303,"4,06,656",650502.7165,"2,77,26,52,709.70",180
27-10-2021 00:00,4102.459381,"4,02,825",1425615.403,"5,84,85,29,282.30",291
28-10-2021 00:00,4127.077292,"4,75,974",611512.0776,"2,52,37,57,609.10",211
29-10-2021 00:00,4368.701837,"4,61,823",1691947.67,"7,39,16,14,894.20",384
30-10-2021 00:00,4333.188936,"4,18,100",444024.1007,"1,92,40,40,320.50",122
31-10-2021 00:00,4290.907696,"4,00,183",404316.8236,"1,73,48,86,170",110
01-11-2021 00:00,4309.368182,"4,18,060",916990.4442,"3,95,16,49,443.30",186
02-11-2021 00:00,4431.562367,"4,43,858",949705.7128,"4,20,86,80,097.10",196
03-11-2021 00:00,4573.700562,"4,55,271",1795248.607,"8,21,09,29,564.20",279
04-11-2021 00:00,4530.901253,"4,37,641",937126.9142,"4,24,60,29,509.80",202
05-11-2021 00:00,4510.272178,"4,22,316",819983.5898,"3,69,83,49,171.50",157
06-11-2021 00:00,4462.173084,"4,06,036",527826.0057,"2,35,52,50,995.50",96
07-11-2021 00:00,4583.849236,"4,16,789",233794.6737,"1,07,16,79,536.30",72
08-11-2021 00:00,4741.204145,"4,31,588",704131.9825,"3,33,84,33,473.90",231
09-11-2021 00:00,4794.231866,"4,10,806",827086.9034,"3,96,52,46,387.70",163
10-11-2021 00:00,4738.083684,"4,60,446",793273.2591,"3,75,85,95,085.90",220
11-11-2021 00:00,4699.25346,"4,46,787",880779.5365,"4,13,90,06,284.20",183
12-11-2021 00:00,4677.380751,"4,48,149",984812.9897,"4,60,63,45,321.70",210
13-11-2021 00:00,4651.204473,"4,42,964",486018.8181,"2,26,05,72,900.80",68
14-11-2021 00:00,4612.260786,"4,43,118",498470.7374,"2,29,90,77,035",70
15-11-2021 00:00,4669.528134,"3,99,015",2753671.009,"12,85,83,44,248.10",215
16-11-2021 00:00,4310.539801,"4,05,270",1116443.781,"4,81,24,75,354.80",293
17-11-2021 00:00,4206.335372,"4,91,165",915876.9893,"3,85,24,85,777.10",203
18-11-2021 00:00,4176.201102,"3,95,034",987713.937,"4,12,48,92,031.80",239
19-11-2021 00:00,4158.472664,"4,12,795",1013437.545,"4,21,43,52,325.60",199
20-11-2021 00:00,4318.016843,"3,55,894",692566.5278,"2,99,05,13,932.30",79
21-11-2021 00:00,4360.17018,"4,21,875",707291.8792,"3,08,39,12,960.20",108
22-11-2021 00:00,4183.61744,"3,57,336",836340.8062,"3,49,89,29,982.80",215
23-11-2021 00:00,4217.068352,"3,80,864",746642.3903,"3,14,86,41,994.40",181
24-11-2021 00:00,4268.761199,"4,01,865",1077237.601,"4,59,84,70,074.40",181
25-11-2021 00:00,4400.325982,"3,91,661",735404.2377,"3,23,60,18,374.20",154
26-11-2021 00:00,4208.926177,"3,98,532",1414537.869,"5,95,36,85,466.20",276
27-11-2021 00:00,4124.663728,"3,56,190",352498.1476,"1,45,39,36,323.70",90
28-11-2021 00:00,4092.680982,"3,43,088",273893.0025,"1,12,09,56,682.30",85
29-11-2021 00:00,4360.751616,"3,91,900",847991.594,"3,69,78,80,714.20",182
30-11-2021 00:00,4538.417314,"4,07,554",1375823.566,"6,24,40,61,494",369
01-12-2021 00:00,4691.799126,"3,74,768",1327257.052,"6,22,72,23,475.90",336
02-12-2021 00:00,4538.882481,"4,00,650",1061536.786,"4,81,81,90,720.10",230
03-12-2021 00:00,4466.144747,"3,70,340",1241942.085,"5,54,66,93,120.90",288
04-12-2021 00:00,4026.027784,"3,53,562",1692584.134,"6,81,43,90,748.50",373
05-12-2021 00:00,4164.699968,"6,30,682",571664.3351,"2,38,08,10,438.20",201
06-12-2021 00:00,4137.366332,"3,91,657",1732724.029,"7,16,89,14,061",394
07-12-2021 00:00,4355.41221,"3,89,854",1263114.343,"5,50,13,83,631.60",239
08-12-2021 00:00,4355.94602,"4,38,818",1051838.626,"4,58,17,52,278.10",242
09-12-2021 00:00,4289.223046,"4,01,886",1038464.467,"4,45,42,05,725.20",239
10-12-2021 00:00,4086.427004,"4,03,851",1109153.209,"4,53,24,73,626.40",256
11-12-2021 00:00,4021.098059,"3,80,588",543643.6871,"2,18,60,44,575",148
12-12-2021 00:00,4070.972184,"3,86,091",157658.5508,"64,18,23,574.90",66
13-12-2021 00:00,3934.832276,"4,01,818",1375502.279,"5,41,23,70,763.90",322
14-12-2021 00:00,3800.988002,"3,91,575",1229938.397,"4,67,49,81,090.70",250
15-12-2021 00:00,3868.08625,"3,96,976",883061.9131,"3,41,57,59,643.80",241
16-12-2021 00:00,4035.518782,"4,01,779",1085408.919,"4,38,01,88,077.50",192
17-12-2021 00:00,3891.309593,"3,97,867",771623.4211,"3,00,26,25,620.70",204
18-12-2021 00:00,3921.119394,"3,67,878",595400.4132,"2,33,46,36,107.30",110
19-12-2021 00:00,3948.888504,"3,68,888",258724.7968,"1,02,16,75,375.80",74
20-12-2021 00:00,3862.650931,"3,89,546",693928.734,"2,68,04,04,470.70",176
21-12-2021 00:00,4004.250688,"3,70,545",642746.5133,"2,57,37,18,168.20",181
22-12-2021 00:00,4022.35006,"4,22,110",699090.4066,"2,81,19,86,338.80",144
23-12-2021 00:00,3996.053387,"3,93,349",852996.6426,"3,40,86,20,122.60",157
24-12-2021 00:00,4097.48346,"4,34,907",773881.0807,"3,17,09,64,927.80",129
25-12-2021 00:00,4073.868879,"4,41,710",635422.6952,"2,58,86,28,743.40",54
26-12-2021 00:00,4062.270057,"3,94,365",253186.5119,"1,02,85,11,985.90",52
27-12-2021 00:00,4080.437658,"3,93,070",911855.6951,"3,72,07,70,316.90",152
28-12-2021 00:00,3901.290748,"3,85,681",1086961.245,"4,24,05,51,850.20",228
29-12-2021 00:00,3780.709141,"3,69,952",740554.2066,"2,79,98,20,058.50",140
30-12-2021 00:00,3708.699328,"3,96,929",2072896.25,"7,68,77,48,928.50",210
31-12-2021 00:00,3741.510761,"3,74,555",1459375.228,"5,46,02,68,118.60",241
01-01-2022 00:00,3731.419299,"3,87,518",459366.1884,"1,71,40,87,860.90",100
02-01-2022 00:00,3772.573668,"3,42,634",200596.8228,"75,67,66,291.60",70
03-01-2022 00:00,3791.528071,"3,67,991",343382.9821,"1,30,19,46,215.70",89
04-01-2022 00:00,3796.736771,"3,79,249",888988.232,"3,37,52,54,309.30",202
05-01-2022 00:00,3766.066035,"3,79,577",1098518.855,"4,13,70,94,550.50",182
06-01-2022 00:00,3432.260556,"3,86,516",1489258.713,"5,11,15,23,936.60",301
07-01-2022 00:00,3236.418658,"3,77,151",1241635.872,"4,01,84,53,504",322
08-01-2022 00:00,3172.509571,"3,71,332",453181.3719,"1,43,77,22,239.50",126
09-01-2022 00:00,3140.058753,"3,28,330",207468.8557,"65,14,64,396.30",70
10-01-2022 00:00,3104.348182,"3,34,991",703314.5542,"2,18,33,33,257.60",191
11-01-2022 00:00,3153.623573,"3,79,191",591981.0213,"1,86,68,85,303.70",154
12-01-2022 00:00,3302.656149,"4,25,165",645694.4647,"2,13,25,06,794.20",157
13-01-2022 00:00,3328.475836,"4,21,127",1053156.275,"3,50,54,05,214.80",172
14-01-2022 00:00,3275.752004,"3,88,713",719243.5832,"2,35,60,63,609.50",163
15-01-2022 00:00,3329.10339,"3,90,408",343918.9769,"1,14,49,41,831.90",88
16-01-2022 00:00,3335.042674,"3,80,865",323146.0161,"1,07,77,05,753.60",69
17-01-2022 00:00,3260.335496,"3,78,475",578021.2397,"1,88,45,43,165",141
18-01-2022 00:00,3166.1447,"3,69,866",628368.4313,"1,98,95,05,378.60",167
19-01-2022 00:00,3122.153851,"3,80,936",1200259.929,"3,74,73,96,161",177
20-01-2022 00:00,3157.363658,"3,79,759",778464.419,"2,45,78,95,265.90",177
21-01-2022 00:00,2825.961714,"3,46,707",2254202.514,"6,37,02,90,000.30",536
22-01-2022 00:00,2473.243876,"3,67,905",1883673.404,"4,65,87,83,711.80",507
23-01-2022 00:00,2460.223507,"3,43,863",1222593.503,"3,00,78,53,275.10",237
24-01-2022 00:00,2369.475199,"3,44,181",1633924.306,"3,87,15,43,120.30",432
25-01-2022 00:00,2425.680092,"3,50,846",1052217.236,"2,55,23,42,401.80",263
26-01-2022 00:00,2519.754208,"3,41,829",1320363.115,"3,32,69,90,513.90",302
27-01-2022 00:00,2428.057216,"3,33,153",1388285.372,"3,37,08,36,316",270
28-01-2022 00:00,2444.441553,"3,53,910",1093724.011,"2,67,35,44,420.20",278
29-01-2022 00:00,2567.613131,"3,51,795",606080.06,"1,55,61,79,120.70",127
30-01-2022 00:00,2601.352705,"3,65,099",757447.5407,"1,97,03,88,209.10",122
