asset,horizon,target,source,variance%
BTC,1,price_change,price_change,100.0
BTC,1,price_change,LRR_Oracle_Sen,0.0
BTC,1,price_change,omega,0.0
BTC,1,LRR_Oracle_Sen,price_change,0.01
BTC,1,LRR_Oracle_Sen,LRR_Oracle_Sen,99.99
BTC,1,LRR_Oracle_Sen,omega,0.0
BTC,1,omega,price_change,0.09
BTC,1,omega,LRR_Oracle_Sen,27.25
BTC,1,omega,omega,72.65
BTC,3,price_change,price_change,98.41
BTC,3,price_change,LRR_Oracle_Sen,0.98
BTC,3,price_change,omega,0.61
BTC,3,LRR_Oracle_Sen,price_change,3.51
BTC,3,LRR_Oracle_Sen,LRR_Oracle_Sen,91.35
BTC,3,LRR_Oracle_Sen,omega,5.15
BTC,3,omega,price_change,0.76
BTC,3,omega,LRR_Oracle_Sen,28.03
BTC,3,omega,omega,71.21
BTC,5,price_change,price_change,98.33
BTC,5,price_change,LRR_Oracle_Sen,1.05
BTC,5,price_change,omega,0.62
BTC,5,LRR_Oracle_Sen,price_change,3.55
BTC,5,LRR_Oracle_Sen,LRR_Oracle_Sen,91.29
BTC,5,LRR_Oracle_Sen,omega,5.16
BTC,5,omega,price_change,0.85
BTC,5,omega,LRR_Oracle_Sen,27.94
BTC,5,omega,omega,71.21
BTC,10,price_change,price_change,98.33
BTC,10,price_change,LRR_Oracle_Sen,1.05
BTC,10,price_change,omega,0.62
BTC,10,LRR_Oracle_Sen,price_change,3.56
BTC,10,LRR_Oracle_Sen,LRR_Oracle_Sen,91.25
BTC,10,LRR_Oracle_Sen,omega,5.19
BTC,10,omega,price_change,0.86
BTC,10,omega,LRR_Oracle_Sen,27.94
BTC,10,omega,omega,71.21
