Lag,LRR_to_Whale_r,LRR_to_Whale_p,LRR_to_Whale_sig,Whale_to_Price_r,Whale_to_Price_p,Whale_to_Price_sig,LRR_to_Price_r,LRR_to_Price_p,LRR_to_Price_sig
t-1,-0.022779,0.5766,,0.033429,0.4129,,0.10159,0.0126,*
t-2,-0.041295,0.3118,,0.019465,0.6339,,0.050189,0.2188,
t-3,-0.000176,0.9966,,-0.047135,0.249,,0.03628,0.3746,
t-4,0.064711,0.1133,,0.001317,0.9743,,-0.043929,0.2827,
t-5,-0.000528,0.9897,,0.039793,0.3313,,0.006142,0.8808,
t-6,0.025058,0.5408,,-0.000223,0.9957,,-0.066243,0.1056,
t-7,-0.016082,0.6949,,-0.02641,0.5199,,-0.017749,0.6652,
t-8,-0.02218,0.5889,,0.013242,0.7472,,0.024938,0.5434,
t-9,8e-05,0.9984,,0.040888,0.3198,,-0.15344,0.0002,***
t-10,0.028373,0.4901,,0.023893,0.5614,,0.014802,0.7188,
t-11,-0.015376,0.7086,,-0.068276,0.097,,0.059345,0.1489,
t-12,0.012223,0.7666,,0.01929,0.6398,,0.059336,0.1493,
t-13,0.043689,0.289,,0.01742,0.6728,,-0.084693,0.0396,*
t-14,0.014495,0.7253,,-0.049837,0.2272,,-0.049005,0.2346,
