label,n_obs,total_return,ann_return,sharpe,sortino,max_drawdown,calmar,win_rate,profit_factor,sharpe_p,strategy_variant,regime,asset
Buy-and-Hold,604,-28.52,-18.36,0.0176,0.024,-76.63,-0.2396,49.67,1.0026,0.485,Long/Cash,Full,BTC
Buy-and-Hold,586,-81.5,-65.04,-1.4841,-1.8269,-89.1,-0.7299,48.29,0.8048,0.969,Long/Cash,CALM,BTC
Buy-and-Hold,15,,,,,,,,,,Long/Cash,CRISIS,BTC
Simple_Sen,604,-20.91,-13.21,-0.1107,-0.1243,-67.16,-0.1968,35.68,0.9772,0.543,Long/Cash,Full,BTC
Simple_Sen,604,-41.12,-27.39,-0.1645,-0.2404,-76.37,-0.3587,49.34,0.9758,0.595,Long/Short,Full,BTC
Simple_Sen,586,-56.94,-40.83,-1.1298,-1.1538,-76.05,-0.5369,34.65,0.7945,0.901,Long/Cash,CALM,BTC
Simple_Sen,586,-26.45,-17.42,-0.0312,-0.0482,-77.55,-0.2246,49.49,0.9954,0.513,Long/Short,CALM,BTC
Simple_Sen,15,,,,,,,,,,Long/Cash,CRISIS,BTC
Simple_Sen,15,,,,,,,,,,Long/Short,CRISIS,BTC
FinBERT_Sen,604,-12.67,-7.86,0.0249,0.029,-64.69,-0.1215,35.08,1.0052,0.477,Long/Cash,Full,BTC
FinBERT_Sen,604,-28.43,-18.3,0.0152,0.0228,-72.73,-0.2517,49.01,1.0023,0.483,Long/Short,Full,BTC
FinBERT_Sen,586,-52.46,-37.07,-0.9821,-1.0395,-74.25,-0.4993,34.06,0.8205,0.875,Long/Cash,CALM,BTC
FinBERT_Sen,586,-10.6,-6.74,0.1737,0.279,-73.64,-0.0916,49.15,1.0257,0.419,Long/Short,CALM,BTC
FinBERT_Sen,15,,,,,,,,,,Long/Cash,CRISIS,BTC
FinBERT_Sen,15,,,,,,,,,,Long/Short,CRISIS,BTC
PageRank_Sen,604,-32.22,-20.94,-0.3133,-0.3486,-72.39,-0.2893,34.31,0.9363,0.66,Long/Cash,Full,BTC
PageRank_Sen,604,-56.31,-39.37,-0.4399,-0.6404,-79.87,-0.4929,48.01,0.9366,0.733,Long/Short,Full,BTC
PageRank_Sen,586,-63.1,-46.26,-1.3383,-1.3594,-79.92,-0.5788,33.25,0.7586,0.952,Long/Cash,CALM,BTC
PageRank_Sen,586,-45.42,-31.42,-0.3452,-0.5287,-79.32,-0.3961,48.12,0.9508,0.639,Long/Short,CALM,BTC
PageRank_Sen,15,,,,,,,,,,Long/Cash,CRISIS,BTC
PageRank_Sen,15,,,,,,,,,,Long/Short,CRISIS,BTC
HITS_Sen,604,-59.43,-42.02,-1.0051,-1.0376,-74.09,-0.5672,31.89,0.8057,0.896,Long/Cash,Full,BTC
HITS_Sen,604,-84.3,-67.34,-1.3806,-1.8424,-85.69,-0.7858,46.36,0.814,0.964,Long/Short,Full,BTC
HITS_Sen,586,-74.65,-57.46,-1.8239,-1.7739,-78.28,-0.734,31.13,0.6763,0.989,Long/Cash,CALM,BTC
HITS_Sen,586,-73.67,-56.44,-1.1074,-1.5571,-78.34,-0.7205,46.59,0.8505,0.915,Long/Short,CALM,BTC
HITS_Sen,15,,,,,,,,,,Long/Cash,CRISIS,BTC
HITS_Sen,15,,,,,,,,,,Long/Short,CRISIS,BTC
LRR_Social_Sen,604,-18.76,-11.8,-0.0809,-0.091,-67.97,-0.1736,34.93,0.9835,0.526,Long/Cash,Full,BTC
LRR_Social_Sen,604,-38.46,-25.43,-0.1234,-0.1772,-78.17,-0.3253,49.17,0.9818,0.569,Long/Short,Full,BTC
LRR_Social_Sen,586,-50.55,-35.51,-0.9003,-0.9423,-72.65,-0.4888,34.15,0.8335,0.854,Long/Cash,CALM,BTC
LRR_Social_Sen,586,-2.54,-1.59,0.2651,0.4157,-73.25,-0.0217,49.49,1.0395,0.351,Long/Short,CALM,BTC
LRR_Social_Sen,15,,,,,,,,,,Long/Cash,CRISIS,BTC
LRR_Social_Sen,15,,,,,,,,,,Long/Short,CRISIS,BTC
LRR_Oracle_Sen,604,-29.47,-19.02,-0.2661,-0.3229,-66.08,-0.2879,33.49,0.9479,0.605,Long/Cash,Full,BTC
LRR_Oracle_Sen,604,-52.92,-36.57,-0.3738,-0.5757,-68.8,-0.5316,47.35,0.9459,0.678,Long/Short,Full,BTC
LRR_Oracle_Sen,586,-60.4,-43.84,-1.2671,-1.3805,-75.92,-0.5775,32.79,0.7832,0.949,Long/Cash,CALM,BTC
LRR_Oracle_Sen,586,-37.84,-25.63,-0.2102,-0.3377,-67.94,-0.3772,47.61,0.9698,0.594,Long/Short,CALM,BTC
LRR_Oracle_Sen,15,,,,,,,,,,Long/Cash,CRISIS,BTC
LRR_Oracle_Sen,15,,,,,,,,,,Long/Short,CRISIS,BTC
