asset,signal,min_events,ltd,joint_crashes,tail_days
BTC,Full_LRR,2,0.1148,7,61
BTC,Full_LRR,4,0.1148,7,61
BTC,Full_LRR,5,0.1148,7,61
BTC,PageRank,2,0.1311,8,61
BTC,PageRank,4,0.1311,8,61
BTC,PageRank,5,0.1311,8,61
BTC,HITS,2,0.1148,7,61
BTC,HITS,4,0.1148,7,61
BTC,HITS,5,0.1148,7,61
BTC,Simple,2,0.1475,9,61
BTC,Simple,4,0.1475,9,61
BTC,Simple,5,0.1475,9,61
BTC,LRR_Social,2,0.1475,9,61
BTC,LRR_Social,4,0.1475,9,61
BTC,LRR_Social,5,0.1475,9,61
BTC,Neut_LRR,2,0.1639,10,61
BTC,Neut_LRR,4,0.1639,10,61
BTC,Neut_LRR,5,0.1639,10,61
BTC,LRR_NoCon,2,0.1311,8,61
BTC,LRR_NoCon,4,0.1311,8,61
BTC,LRR_NoCon,5,0.1311,8,61
ETH,Full_LRR,2,0.1148,7,61
ETH,Full_LRR,4,0.1148,7,61
ETH,Full_LRR,5,0.1148,7,61
ETH,PageRank,2,0.1639,10,61
ETH,PageRank,4,0.1639,10,61
ETH,PageRank,5,0.1639,10,61
ETH,HITS,2,0.1311,8,61
ETH,HITS,4,0.1311,8,61
ETH,HITS,5,0.1311,8,61
ETH,Simple,2,0.1803,11,61
ETH,Simple,4,0.1803,11,61
ETH,Simple,5,0.1803,11,61
ETH,LRR_Social,2,0.1803,11,61
ETH,LRR_Social,4,0.1803,11,61
ETH,LRR_Social,5,0.1803,11,61
ETH,Neut_LRR,2,0.1967,12,61
ETH,Neut_LRR,4,0.1967,12,61
ETH,Neut_LRR,5,0.1967,12,61
ETH,LRR_NoCon,2,0.1639,10,61
ETH,LRR_NoCon,4,0.1639,10,61
ETH,LRR_NoCon,5,0.1639,10,61
DOGE,Full_LRR,2,0.1148,7,61
DOGE,Full_LRR,4,0.1148,7,61
DOGE,Full_LRR,5,0.1148,7,61
DOGE,PageRank,2,0.1311,8,61
DOGE,PageRank,4,0.1311,8,61
DOGE,PageRank,5,0.1311,8,61
DOGE,HITS,2,0.1475,9,61
DOGE,HITS,4,0.1475,9,61
DOGE,HITS,5,0.1475,9,61
DOGE,Simple,2,0.1475,9,61
DOGE,Simple,4,0.1475,9,61
DOGE,Simple,5,0.1475,9,61
DOGE,LRR_Social,2,0.1475,9,61
DOGE,LRR_Social,4,0.1475,9,61
DOGE,LRR_Social,5,0.1475,9,61
DOGE,Neut_LRR,2,0.1639,10,61
DOGE,Neut_LRR,4,0.1639,10,61
DOGE,Neut_LRR,5,0.1639,10,61
DOGE,LRR_NoCon,2,0.1311,8,61
DOGE,LRR_NoCon,4,0.1311,8,61
DOGE,LRR_NoCon,5,0.1311,8,61
LTC,Full_LRR,2,0.0984,6,61
LTC,Full_LRR,4,0.0984,6,61
LTC,Full_LRR,5,0.0984,6,61
LTC,PageRank,2,0.1311,8,61
LTC,PageRank,4,0.1311,8,61
LTC,PageRank,5,0.1311,8,61
LTC,HITS,2,0.0820,5,61
LTC,HITS,4,0.0820,5,61
LTC,HITS,5,0.0820,5,61
LTC,Simple,2,0.1311,8,61
LTC,Simple,4,0.1311,8,61
LTC,Simple,5,0.1311,8,61
LTC,LRR_Social,2,0.1311,8,61
LTC,LRR_Social,4,0.1311,8,61
LTC,LRR_Social,5,0.1311,8,61
LTC,Neut_LRR,2,0.1475,9,61
LTC,Neut_LRR,4,0.1475,9,61
LTC,Neut_LRR,5,0.1475,9,61
LTC,LRR_NoCon,2,0.1148,7,61
LTC,LRR_NoCon,4,0.1148,7,61
LTC,LRR_NoCon,5,0.1148,7,61
SOL,Full_LRR,2,0.0820,5,61
SOL,Full_LRR,4,0.0820,5,61
SOL,Full_LRR,5,0.0820,5,61
SOL,PageRank,2,0.1803,11,61
SOL,PageRank,4,0.1803,11,61
SOL,PageRank,5,0.1803,11,61
SOL,HITS,2,0.0984,6,61
SOL,HITS,4,0.0984,6,61
SOL,HITS,5,0.0984,6,61
SOL,Simple,2,0.1967,12,61
SOL,Simple,4,0.1967,12,61
SOL,Simple,5,0.1967,12,61
SOL,LRR_Social,2,0.1967,12,61
SOL,LRR_Social,4,0.1967,12,61
SOL,LRR_Social,5,0.1967,12,61
SOL,Neut_LRR,2,0.1967,12,61
SOL,Neut_LRR,4,0.1967,12,61
SOL,Neut_LRR,5,0.1967,12,61
SOL,LRR_NoCon,2,0.1803,11,61
SOL,LRR_NoCon,4,0.1803,11,61
SOL,LRR_NoCon,5,0.1803,11,61
XRP,Full_LRR,2,0.0820,5,61
XRP,Full_LRR,4,0.0820,5,61
XRP,Full_LRR,5,0.0820,5,61
XRP,PageRank,2,0.1967,12,61
XRP,PageRank,4,0.1967,12,61
XRP,PageRank,5,0.1967,12,61
XRP,HITS,2,0.1311,8,61
XRP,HITS,4,0.1311,8,61
XRP,HITS,5,0.1311,8,61
XRP,Simple,2,0.2295,14,61
XRP,Simple,4,0.2295,14,61
XRP,Simple,5,0.2295,14,61
XRP,LRR_Social,2,0.2131,13,61
XRP,LRR_Social,4,0.2131,13,61
XRP,LRR_Social,5,0.2131,13,61
XRP,Neut_LRR,2,0.2295,14,61
XRP,Neut_LRR,4,0.2295,14,61
XRP,Neut_LRR,5,0.2295,14,61
XRP,LRR_NoCon,2,0.1967,12,61
XRP,LRR_NoCon,4,0.1967,12,61
XRP,LRR_NoCon,5,0.1967,12,61
