asset,dropped_channel,tweets_dropped,pct_dropped,lrr_F,lrr_p,lrr_sig,pr_F,pr_p,pr_sig,hits_F,hits_p,hits_sig
BTC,0xPolygon,3670,1.05,11.736,0.0,*,4.877,0.0,*,5.968,0.0005,*
BTC,100trillionUSD,3215,0.92,12.324,0.0,*,4.734,0.0,*,5.836,0.0006,*
BTC,APompliano,10940,3.12,11.145,0.0,*,4.834,0.0,*,5.542,0.0009,*
BTC,AndreCronje123,40,0.01,12.124,0.0,*,4.84,0.0,*,5.934,0.0005,*
BTC,AndreCronjeTech,1506,0.43,11.579,0.0,*,4.856,0.0,*,6.049,0.0004,*
BTC,BTCTN,12128,3.46,11.144,0.0,*,5.514,0.0,*,5.93,0.0005,*
BTC,BY_DeFi,1239,0.35,12.266,0.0,*,4.776,0.0,*,5.911,0.0005,*
BTC,BarrySilbert,1750,0.5,10.686,0.0,*,8.23,0.0,*,5.241,0.0013,*
BTC,Bitcoin,1389,0.4,16.861,0.0,*,5.44,0.0,*,10.179,0.0,*
BTC,BitcoinMagazine,14566,4.15,12.262,0.0,*,4.799,0.0,*,4.613,0.0032,*
BTC,Blockstream,1791,0.51,12.034,0.0,*,4.925,0.0,*,5.891,0.0005,*
BTC,Blockworks_,8992,2.56,11.736,0.0,*,5.0,0.0,*,5.966,0.0005,*
BTC,CoinDesk,23659,6.74,11.73,0.0,*,8.478,0.0,*,6.532,0.0002,*
BTC,CoinDeskMarkets,777,0.22,12.148,0.0,*,4.83,0.0,*,5.971,0.0005,*
BTC,CoinMarketCap,9791,2.79,11.789,0.0,*,5.258,0.0,*,6.213,0.0003,*
BTC,Cointelegraph,57717,16.45,14.56,0.0,*,7.872,0.0,*,6.316,0.0003,*
BTC,CointelegraphZN,460,0.13,12.108,0.0,*,4.849,0.0,*,5.93,0.0005,*
BTC,DefiantNews,4813,1.37,12.718,0.0,*,4.61,0.0,*,5.777,0.0006,*
BTC,DylanLeClair_,8131,2.32,13.478,0.0,*,4.487,0.0001,*,5.556,0.0009,*
BTC,ErikVoorhees,6016,1.71,11.45,0.0,*,4.872,0.0,*,6.171,0.0004,*
BTC,Grayscale,1154,0.33,12.0,0.0,*,4.863,0.0,*,5.964,0.0005,*
BTC,IOHK_Charles,3058,0.87,12.375,0.0,*,4.65,0.0,*,5.899,0.0005,*
BTC,JamieCrawleyCD,1003,0.29,12.187,0.0,*,4.798,0.0,*,5.979,0.0005,*
BTC,Liquid_BTC,735,0.21,12.289,0.0,*,4.763,0.0,*,5.893,0.0005,*
BTC,NeerajKA,10890,3.1,11.859,0.0,*,4.572,0.0,*,5.924,0.0005,*
BTC,NischalShetty,3238,0.92,12.287,0.0,*,4.772,0.0,*,5.843,0.0006,*
BTC,OurNetwork__,324,0.09,12.156,0.0,*,4.846,0.0,*,5.941,0.0005,*
BTC,RaoulGMI,8498,2.42,11.771,0.0,*,5.102,0.0,*,6.087,0.0004,*
BTC,SatoshiLite,1174,0.33,0.926,0.3361,,7.214,0.0073,*,3.608,0.0577,
BTC,ShapeShift_io,480,0.14,12.157,0.0,*,4.845,0.0,*,5.953,0.0005,*
BTC,Stacks,2296,0.65,11.869,0.0,*,4.897,0.0,*,5.914,0.0005,*
BTC,THORChain,5086,1.45,12.083,0.0,*,4.622,0.0,*,5.953,0.0005,*
BTC,Tanzeel_Akhtar,999,0.28,12.078,0.0,*,4.862,0.0,*,5.994,0.0005,*
BTC,Unchained_pod,3129,0.89,12.042,0.0,*,4.875,0.0,*,6.016,0.0004,*
BTC,VitalikButerin,2642,0.75,61.601,0.0,*,6.058,0.0004,*,3.236,0.0215,*
BTC,WeekInEthNews,775,0.22,11.775,0.0,*,4.976,0.0,*,5.98,0.0005,*
BTC,aantonop,357,0.1,12.264,0.0,*,9.592,0.0,*,10.5,0.0,*
BTC,adam3us,10092,2.88,10.827,0.0,*,7.793,0.0,*,0.204,0.8156,
BTC,binance,9071,2.59,11.883,0.0,*,4.389,0.0001,*,5.924,0.0005,*
BTC,bitfinex,1473,0.42,11.915,0.0,*,4.822,0.0,*,6.012,0.0005,*
BTC,brian_armstrong,1285,0.37,17.837,0.0,*,12.264,0.0,*,1.259,0.2843,
BTC,coinbase,1145,0.33,10.359,0.0,*,6.338,0.0,*,4.424,0.0042,*
BTC,coindanslecoin,637,0.18,12.331,0.0,*,4.658,0.0,*,5.961,0.0005,*
BTC,coingecko,5085,1.45,10.534,0.0,*,4.791,0.0,*,5.56,0.0009,*
BTC,coinmetrics,1306,0.37,12.139,0.0,*,4.828,0.0,*,5.854,0.0006,*
BTC,cryptocom,3334,0.95,11.914,0.0,*,5.051,0.0,*,5.977,0.0005,*
BTC,cz_binance,6897,1.97,12.184,0.0,*,4.986,0.0,*,5.732,0.0007,*
BTC,danheld,8192,2.34,12.436,0.0,*,4.344,0.0001,*,5.798,0.0006,*
BTC,defipulse,923,0.26,12.043,0.0,*,4.873,0.0,*,5.982,0.0005,*
BTC,elonmusk,7783,2.22,11.571,0.0,*,4.285,0.0001,*,5.247,0.0013,*
BTC,ethereum,561,0.16,6.452,0.0016,*,8.155,0.0,*,2.598,0.0747,
BTC,ethereumJoseph,210,0.06,15.939,0.0,*,3.301,0.0017,*,4.782,0.0025,*
BTC,ethhub_io,24,0.01,16.659,0.0,*,5.239,0.0013,*,2.84,0.0367,*
BTC,godbole17,3507,1.0,12.07,0.0,*,4.874,0.0,*,6.007,0.0005,*
BTC,iamjosephyoung,472,0.13,12.136,0.0,*,4.876,0.0,*,5.996,0.0005,*
BTC,krakenfx,1700,0.48,11.909,0.0,*,4.998,0.0,*,6.059,0.0004,*
BTC,lawmaster,3874,1.1,13.165,0.0,*,4.614,0.0,*,5.567,0.0008,*
BTC,lopp,6062,1.73,12.248,0.0,*,4.636,0.0,*,5.882,0.0005,*
BTC,maxkeiser,25777,7.35,9.618,0.0001,*,5.756,0.0,*,5.949,0.0005,*
BTC,mcshane_writes,5870,1.67,41.039,0.0,*,11.71,0.0,*,6.302,0.0,*
BTC,mcuban,2455,0.7,12.544,0.0,*,4.628,0.0,*,5.834,0.0006,*
BTC,muneeb,2327,0.66,12.008,0.0,*,4.655,0.0,*,6.1,0.0004,*
BTC,namcios,2341,0.67,12.2,0.0,*,4.79,0.0,*,6.016,0.0004,*
BTC,naval,1865,0.53,12.043,0.0,*,5.356,0.0,*,6.434,0.0002,*
BTC,nayibbukele,4063,1.16,11.983,0.0,*,4.502,0.0001,*,6.278,0.0003,*
BTC,noshitcoins,2359,0.67,12.044,0.0,*,4.908,0.0,*,6.015,0.0004,*
BTC,novogratz,788,0.22,12.156,0.0,*,4.787,0.0,*,5.966,0.0005,*
BTC,orangepillpod,1855,0.53,11.959,0.0,*,4.979,0.0,*,6.369,0.0003,*
BTC,ournetwork__,82,0.02,12.097,0.0,*,4.862,0.0,*,5.968,0.0005,*
BTC,pete_rizzo_,1610,0.46,12.307,0.0,*,4.702,0.0,*,5.857,0.0006,*
BTC,real_vijay,1312,0.37,12.072,0.0,*,4.833,0.0,*,5.959,0.0005,*
BTC,saylor,1405,0.4,12.102,0.0,*,4.827,0.0,*,5.9,0.0005,*
BTC,shapeshift_io,5,0.0,12.113,0.0,*,4.835,0.0,*,5.951,0.0005,*
BTC,solana,1787,0.51,12.038,0.0,*,4.821,0.0,*,5.972,0.0005,*
BTC,todayindefi,489,0.14,12.086,0.0,*,4.875,0.0,*,5.975,0.0005,*
BTC,zhusu,2349,0.67,12.102,0.0,*,4.824,0.0,*,5.847,0.0006,*
ETH,0xPolygon,3670,1.05,11.795,0.0,*,4.934,0.0,*,6.369,0.0003,*
ETH,100trillionUSD,3215,0.92,12.395,0.0,*,4.801,0.0,*,6.243,0.0003,*
ETH,APompliano,10940,3.12,11.204,0.0,*,4.927,0.0,*,5.894,0.0005,*
ETH,AndreCronje123,40,0.01,12.174,0.0,*,4.907,0.0,*,6.339,0.0003,*
ETH,AndreCronjeTech,1506,0.43,11.635,0.0,*,4.938,0.0,*,6.447,0.0002,*
ETH,BTCTN,12128,3.46,11.19,0.0,*,5.569,0.0,*,6.279,0.0003,*
ETH,BY_DeFi,1239,0.35,12.306,0.0,*,4.839,0.0,*,6.313,0.0003,*
ETH,BarrySilbert,1750,0.5,10.799,0.0,*,8.22,0.0,*,5.518,0.0009,*
ETH,Bitcoin,1389,0.4,17.626,0.0,*,5.676,0.0,*,11.101,0.0,*
ETH,BitcoinMagazine,14566,4.15,12.355,0.0,*,7.667,0.0,*,4.921,0.0021,*
ETH,Blockstream,1791,0.51,12.09,0.0,*,4.991,0.0,*,6.294,0.0003,*
ETH,Blockworks_,8992,2.56,11.759,0.0,*,5.072,0.0,*,6.405,0.0003,*
ETH,CoinDesk,23659,6.74,11.763,0.0,*,8.79,0.0,*,6.97,0.0001,*
ETH,CoinDeskMarkets,777,0.22,12.183,0.0,*,4.905,0.0,*,6.374,0.0003,*
ETH,CoinMarketCap,9791,2.79,11.833,0.0,*,5.346,0.0,*,6.612,0.0002,*
ETH,Cointelegraph,57717,16.45,14.328,0.0,*,8.213,0.0,*,6.747,0.0002,*
ETH,CointelegraphZN,460,0.13,12.15,0.0,*,4.918,0.0,*,6.328,0.0003,*
ETH,DefiantNews,4813,1.37,12.759,0.0,*,4.649,0.0,*,6.169,0.0004,*
ETH,DylanLeClair_,8131,2.32,13.478,0.0,*,4.519,0.0001,*,5.952,0.0005,*
ETH,ErikVoorhees,6016,1.71,11.489,0.0,*,4.931,0.0,*,6.581,0.0002,*
ETH,Grayscale,1154,0.33,12.064,0.0,*,4.933,0.0,*,6.365,0.0003,*
ETH,IOHK_Charles,3058,0.87,12.428,0.0,*,4.707,0.0,*,6.307,0.0003,*
ETH,JamieCrawleyCD,1003,0.29,12.233,0.0,*,4.864,0.0,*,6.378,0.0003,*
ETH,Liquid_BTC,735,0.21,12.342,0.0,*,4.838,0.0,*,6.293,0.0003,*
ETH,NeerajKA,10890,3.1,11.949,0.0,*,4.612,0.0,*,6.354,0.0003,*
ETH,NischalShetty,3238,0.92,12.347,0.0,*,4.83,0.0,*,6.241,0.0003,*
ETH,OurNetwork__,324,0.09,12.206,0.0,*,4.918,0.0,*,6.343,0.0003,*
ETH,RaoulGMI,8498,2.42,11.831,0.0,*,5.272,0.0,*,6.485,0.0002,*
ETH,SatoshiLite,1174,0.33,0.912,0.3397,,7.138,0.0076,*,3.504,0.0614,
ETH,ShapeShift_io,480,0.14,12.204,0.0,*,4.913,0.0,*,6.358,0.0003,*
ETH,Stacks,2296,0.65,11.921,0.0,*,4.973,0.0,*,6.313,0.0003,*
ETH,THORChain,5086,1.45,12.134,0.0,*,4.693,0.0,*,6.351,0.0003,*
ETH,Tanzeel_Akhtar,999,0.28,12.131,0.0,*,4.938,0.0,*,6.397,0.0003,*
ETH,Unchained_pod,3129,0.89,12.088,0.0,*,4.961,0.0,*,6.419,0.0003,*
ETH,VitalikButerin,2642,0.75,62.903,0.0,*,6.613,0.0002,*,3.802,0.0099,*
ETH,WeekInEthNews,775,0.22,11.819,0.0,*,5.054,0.0,*,6.38,0.0003,*
