asset,signal,bull_mean,bear_mean,bull_std,bear_std,discrimination_d
BTC,Full_LRR,0.0061,0.0035,0.0057,0.0109,0.4448
BTC,PageRank,0.1549,0.1637,0.0485,0.0566,0.1717
BTC,HITS,0.1322,0.1333,0.0679,0.0602,0.0158
BTC,Simple,0.1524,0.1617,0.0480,0.0570,0.1842
BTC,LRR_Social,0.1495,0.1512,0.0502,0.0598,0.0330
BTC,Neut_LRR,0.0985,0.1005,0.0328,0.0411,0.0580
BTC,LRR_NoCon,0.1486,0.1478,0.0511,0.0600,0.0146
ETH,Full_LRR,0.0058,0.0063,0.0021,0.0086,0.0838
ETH,PageRank,0.1516,0.1597,0.0321,0.0637,0.1597
ETH,HITS,0.1272,0.1386,0.0484,0.0860,0.1633
ETH,Simple,0.1489,0.1573,0.0307,0.0636,0.1656
ETH,LRR_Social,0.1466,0.1533,0.0325,0.0665,0.1272
ETH,Neut_LRR,0.0968,0.1008,0.0210,0.0437,0.1163
ETH,LRR_NoCon,0.1458,0.1520,0.0330,0.0677,0.1145
DOGE,Full_LRR,0.0062,0.0055,0.0059,0.0057,0.1132
DOGE,PageRank,0.1549,0.1563,0.0425,0.0678,0.0276
DOGE,HITS,0.1325,0.1313,0.0605,0.0909,0.0169
DOGE,Simple,0.1522,0.1541,0.0422,0.0667,0.0363
DOGE,LRR_Social,0.1494,0.1503,0.0438,0.0709,0.0176
DOGE,Neut_LRR,0.0984,0.0992,0.0282,0.0474,0.0256
DOGE,LRR_NoCon,0.1484,0.1489,0.0444,0.0723,0.0093
LTC,Full_LRR,0.0063,0.0053,0.0061,0.0050,0.1605
LTC,PageRank,0.1564,0.1507,0.0464,0.0558,0.1121
LTC,HITS,0.1342,0.1253,0.0644,0.0779,0.1284
LTC,Simple,0.1538,0.1486,0.0461,0.0549,0.1031
LTC,LRR_Social,0.1509,0.1448,0.0482,0.0576,0.1167
LTC,Neut_LRR,0.0994,0.0955,0.0310,0.0391,0.1139
LTC,LRR_NoCon,0.1500,0.1435,0.0489,0.0588,0.1214
SOL,Full_LRR,0.0060,0.0065,0.0029,0.0124,0.0834
SOL,PageRank,0.1557,0.1525,0.0442,0.0654,0.0624
SOL,HITS,0.1325,0.1310,0.0625,0.0877,0.0209
SOL,Simple,0.1529,0.1514,0.0438,0.0648,0.0305
SOL,LRR_Social,0.1500,0.1474,0.0458,0.0678,0.0503
SOL,Neut_LRR,0.0990,0.0963,0.0295,0.0455,0.0780
SOL,LRR_NoCon,0.1491,0.1459,0.0465,0.0692,0.0592
XRP,Full_LRR,0.0061,0.0058,0.0059,0.0060,0.0517
XRP,PageRank,0.1544,0.1582,0.0425,0.0685,0.0738
XRP,HITS,0.1301,0.1409,0.0594,0.0943,0.1550
XRP,Simple,0.1518,0.1559,0.0420,0.0681,0.0801
XRP,LRR_Social,0.1488,0.1528,0.0436,0.0722,0.0762
XRP,Neut_LRR,0.0980,0.1008,0.0282,0.0481,0.0805
XRP,LRR_NoCon,0.1478,0.1515,0.0442,0.0737,0.0694
