asset,signal,TE,LTD,IER
BTC,LRR_Oracle,0.047934,0.114754,0.417713
BTC,PageRank,0.090128,0.131148,0.687227
BTC,HITS,0.069737,0.114754,0.607711
ETH,LRR_Oracle,0.04233,0.114754,0.36888
ETH,PageRank,0.09084,0.163934,0.554122
ETH,HITS,0.074614,0.131148,0.568928
DOGE,LRR_Oracle,0.021257,0.114754,0.185241
DOGE,PageRank,0.051422,0.131148,0.392093
DOGE,HITS,0.040725,0.147541,0.276026
LTC,LRR_Oracle,0.031821,0.098361,0.323516
LTC,PageRank,0.085857,0.131148,0.654659
LTC,HITS,0.056718,0.081967,0.691964
SOL,LRR_Oracle,0.014615,0.081967,0.178309
SOL,PageRank,0.052966,0.180328,0.29372
SOL,HITS,0.051339,0.098361,0.521946
XRP,LRR_Oracle,0.045195,0.081967,0.551374
XRP,PageRank,0.101552,0.196721,0.516223
XRP,HITS,0.076159,0.131148,0.580716
