asset,horizon,target,source,variance%
DOGE,1,price_change,price_change,100.0
DOGE,1,price_change,LRR_Oracle_Sen,0.0
DOGE,1,price_change,omega,0.0
DOGE,1,LRR_Oracle_Sen,price_change,0.04
DOGE,1,LRR_Oracle_Sen,LRR_Oracle_Sen,99.96
DOGE,1,LRR_Oracle_Sen,omega,0.0
DOGE,1,omega,price_change,1.18
DOGE,1,omega,LRR_Oracle_Sen,0.23
DOGE,1,omega,omega,98.59
DOGE,3,price_change,price_change,99.69
DOGE,3,price_change,LRR_Oracle_Sen,0.3
DOGE,3,price_change,omega,0.01
DOGE,3,LRR_Oracle_Sen,price_change,0.14
DOGE,3,LRR_Oracle_Sen,LRR_Oracle_Sen,97.89
DOGE,3,LRR_Oracle_Sen,omega,1.96
DOGE,3,omega,price_change,1.46
DOGE,3,omega,LRR_Oracle_Sen,2.49
DOGE,3,omega,omega,96.05
DOGE,5,price_change,price_change,98.32
DOGE,5,price_change,LRR_Oracle_Sen,0.46
DOGE,5,price_change,omega,1.22
DOGE,5,LRR_Oracle_Sen,price_change,3.12
DOGE,5,LRR_Oracle_Sen,LRR_Oracle_Sen,94.28
DOGE,5,LRR_Oracle_Sen,omega,2.59
DOGE,5,omega,price_change,2.0
DOGE,5,omega,LRR_Oracle_Sen,4.05
DOGE,5,omega,omega,93.95
DOGE,10,price_change,price_change,97.27
DOGE,10,price_change,LRR_Oracle_Sen,1.07
DOGE,10,price_change,omega,1.67
DOGE,10,LRR_Oracle_Sen,price_change,5.36
DOGE,10,LRR_Oracle_Sen,LRR_Oracle_Sen,90.88
DOGE,10,LRR_Oracle_Sen,omega,3.75
DOGE,10,omega,price_change,4.11
DOGE,10,omega,LRR_Oracle_Sen,7.27
DOGE,10,omega,omega,88.62
