label,n_obs,total_return,ann_return,sharpe,sortino,max_drawdown,calmar,win_rate,profit_factor,sharpe_p,strategy_variant,regime,asset
Buy-and-Hold,604,-73.72,-55.41,-0.1978,-0.291,-86.22,-0.6427,48.51,0.9686,0.594,Long/Cash,Full,DOGE
Buy-and-Hold,479,-78.45,-68.95,-1.3342,-2.0482,-84.08,-0.8201,47.81,0.8328,0.934,Long/Cash,CALM,DOGE
Buy-and-Hold,122,26.74,103.17,1.3299,2.0747,-54.14,1.9054,51.64,1.2231,0.209,Long/Cash,CRISIS,DOGE
Simple_Sen,604,-34.17,-22.32,-0.0089,-0.0096,-67.25,-0.332,36.41,0.998,0.497,Long/Cash,Full,DOGE
Simple_Sen,604,-51.48,-35.4,0.1866,0.2201,-72.24,-0.4901,52.15,1.0306,0.4,Long/Short,Full,DOGE
Simple_Sen,479,-44.03,-35.74,-0.6786,-0.7708,-67.64,-0.5284,34.93,0.878,0.803,Long/Cash,CALM,DOGE
Simple_Sen,479,4.25,3.22,0.3937,0.6052,-71.42,0.0451,50.94,1.0553,0.329,Long/Short,CALM,DOGE
Simple_Sen,122,17.62,62.49,1.0373,1.0424,-36.55,1.7096,42.86,1.2531,0.272,Long/Cash,CRISIS,DOGE
Simple_Sen,122,-53.56,-89.92,-0.0653,-0.0769,-67.88,-1.3248,56.56,0.9901,0.53,Long/Short,CRISIS,DOGE
FinBERT_Sen,604,-39.1,-25.9,-0.077,-0.0842,-66.7,-0.3882,35.56,0.9832,0.536,Long/Cash,Full,DOGE
FinBERT_Sen,604,-58.47,-41.2,0.1005,0.1194,-74.73,-0.5514,51.49,1.0164,0.441,Long/Short,Full,DOGE
FinBERT_Sen,479,-44.74,-36.37,-0.6984,-0.8085,-65.99,-0.5511,34.11,0.8753,0.806,Long/Cash,CALM,DOGE
FinBERT_Sen,479,1.64,1.25,0.3658,0.5679,-68.66,0.0182,50.52,1.0513,0.341,Long/Short,CALM,DOGE
FinBERT_Sen,122,10.21,33.77,0.8756,0.8838,-36.55,0.924,42.11,1.2098,0.306,Long/Cash,CRISIS,DOGE
FinBERT_Sen,122,-59.24,-93.18,-0.2614,-0.3122,-70.98,-1.3128,54.92,0.9611,0.581,Long/Short,CRISIS,DOGE
PageRank_Sen,604,-41.24,-27.48,-0.1008,-0.1091,-70.02,-0.3925,35.52,0.9779,0.541,Long/Cash,Full,DOGE
PageRank_Sen,604,-60.74,-43.16,0.0693,0.0821,-80.64,-0.5353,51.49,1.0112,0.461,Long/Short,Full,DOGE
PageRank_Sen,479,-41.12,-33.21,-0.5873,-0.6733,-69.23,-0.4797,34.23,0.8928,0.757,Long/Cash,CALM,DOGE
PageRank_Sen,479,16.18,12.1,0.5118,0.7966,-74.58,0.1623,50.73,1.0725,0.287,Long/Short,CALM,DOGE
PageRank_Sen,122,-0.21,-0.63,0.6346,0.6525,-36.55,-0.0173,41.03,1.1454,0.362,Long/Cash,CRISIS,DOGE
PageRank_Sen,122,-66.28,-96.13,-0.5475,-0.6595,-75.2,-1.2784,54.1,0.9203,0.632,Long/Short,CRISIS,DOGE
HITS_Sen,604,-62.88,-45.06,-0.331,-0.3788,-81.01,-0.5562,33.57,0.9221,0.651,Long/Cash,Full,DOGE
HITS_Sen,604,-78.53,-60.53,-0.2945,-0.3885,-91.03,-0.665,49.34,0.9536,0.645,Long/Short,Full,DOGE
HITS_Sen,479,-43.98,-35.7,-0.6944,-0.8045,-65.7,-0.5434,33.23,0.8708,0.801,Long/Cash,CALM,DOGE
HITS_Sen,479,3.49,2.65,0.3848,0.6163,-70.1,0.0378,50.1,1.0541,0.344,Long/Short,CALM,DOGE
HITS_Sen,122,-33.74,-70.81,-0.0258,-0.0306,-51.21,-1.3828,35.0,0.9944,0.506,Long/Cash,CRISIS,DOGE
HITS_Sen,122,-79.3,-99.1,-1.369,-1.9911,-84.45,-1.1735,45.9,0.8128,0.773,Long/Short,CRISIS,DOGE
LRR_Social_Sen,604,-35.38,-23.19,0.0523,0.0613,-70.0,-0.3313,35.65,1.0126,0.488,Long/Cash,Full,DOGE
LRR_Social_Sen,604,-39.58,-26.25,0.2729,0.362,-72.48,-0.3622,51.66,1.045,0.371,Long/Short,Full,DOGE
LRR_Social_Sen,479,-43.56,-35.33,-0.6615,-0.7593,-69.7,-0.5068,34.41,0.8808,0.799,Long/Cash,CALM,DOGE
LRR_Social_Sen,479,6.18,4.68,0.4139,0.6393,-75.15,0.0622,50.94,1.0583,0.338,Long/Short,CALM,DOGE
LRR_Social_Sen,122,14.5,49.94,0.995,1.1496,-36.55,1.3664,41.03,1.2596,0.295,Long/Cash,CRISIS,DOGE
LRR_Social_Sen,122,-43.23,-81.62,0.1424,0.2038,-67.25,-1.2138,54.1,1.0218,0.488,Long/Short,CRISIS,DOGE
LRR_Oracle_Sen,604,-5.79,-3.54,0.271,0.4002,-63.92,-0.0554,32.8,1.0596,0.346,Long/Cash,Full,DOGE
LRR_Oracle_Sen,604,-3.39,-2.06,0.5351,0.775,-71.85,-0.0287,48.51,1.0902,0.232,Long/Short,Full,DOGE
LRR_Oracle_Sen,479,-69.15,-59.18,-1.4528,-1.7112,-75.16,-0.7875,32.13,0.7613,0.954,Long/Cash,CALM,DOGE
LRR_Oracle_Sen,479,-66.49,-56.53,-0.8492,-1.323,-78.72,-0.7181,47.81,0.8902,0.845,Long/Short,CALM,DOGE
LRR_Oracle_Sen,122,205.36,2721.44,3.5841,7.1789,-16.77,162.2649,36.0,2.3764,0.01,Long/Cash,CRISIS,DOGE
LRR_Oracle_Sen,122,187.62,2258.95,2.6231,3.8418,-49.93,45.2429,50.82,1.4893,0.06,Long/Short,CRISIS,DOGE
