asset,horizon,target,source,variance%
ETH,1,price_change,price_change,100.0
ETH,1,price_change,LRR_Oracle_Sen,0.0
ETH,1,price_change,omega,0.0
ETH,1,LRR_Oracle_Sen,price_change,0.27
ETH,1,LRR_Oracle_Sen,LRR_Oracle_Sen,99.73
ETH,1,LRR_Oracle_Sen,omega,0.0
ETH,1,omega,price_change,0.16
ETH,1,omega,LRR_Oracle_Sen,27.76
ETH,1,omega,omega,72.08
ETH,3,price_change,price_change,99.61
ETH,3,price_change,LRR_Oracle_Sen,0.21
ETH,3,price_change,omega,0.18
ETH,3,LRR_Oracle_Sen,price_change,1.24
ETH,3,LRR_Oracle_Sen,LRR_Oracle_Sen,93.65
ETH,3,LRR_Oracle_Sen,omega,5.12
ETH,3,omega,price_change,0.4
ETH,3,omega,LRR_Oracle_Sen,28.62
ETH,3,omega,omega,70.98
ETH,5,price_change,price_change,99.59
ETH,5,price_change,LRR_Oracle_Sen,0.23
ETH,5,price_change,omega,0.18
ETH,5,LRR_Oracle_Sen,price_change,1.3
ETH,5,LRR_Oracle_Sen,LRR_Oracle_Sen,93.56
ETH,5,LRR_Oracle_Sen,omega,5.14
ETH,5,omega,price_change,0.44
ETH,5,omega,LRR_Oracle_Sen,28.55
ETH,5,omega,omega,71.01
ETH,10,price_change,price_change,99.58
ETH,10,price_change,LRR_Oracle_Sen,0.23
ETH,10,price_change,omega,0.18
ETH,10,LRR_Oracle_Sen,price_change,1.3
ETH,10,LRR_Oracle_Sen,LRR_Oracle_Sen,93.53
ETH,10,LRR_Oracle_Sen,omega,5.17
ETH,10,omega,price_change,0.44
ETH,10,omega,LRR_Oracle_Sen,28.55
ETH,10,omega,omega,71.01
