Lag,LRR_to_Whale_r,LRR_to_Whale_p,LRR_to_Whale_sig,Whale_to_Price_r,Whale_to_Price_p,Whale_to_Price_sig,LRR_to_Price_r,LRR_to_Price_p,LRR_to_Price_sig
t-1,-0.060008,0.1411,,0.013677,0.7377,,0.029272,0.4731,
t-2,0.003069,0.9401,,0.029368,0.4724,,0.044484,0.2758,
t-3,-0.029724,0.467,,-0.047506,0.2453,,-0.017075,0.6761,
t-4,0.022742,0.5782,,-0.031459,0.4422,,-0.050027,0.2211,
t-5,-0.002306,0.9551,,0.051666,0.2071,,-0.002457,0.9522,
t-6,0.072071,0.0782,,-0.007736,0.8504,,-0.034657,0.3976,
t-7,-0.029127,0.4775,,-0.064976,0.1131,,-0.041907,0.3067,
t-8,-0.017436,0.671,,0.066023,0.1077,,0.055472,0.1762,
t-9,0.023427,0.5685,,0.014235,0.7292,,-0.166796,0.0,***
t-10,-0.001857,0.964,,-0.009593,0.8157,,-0.051605,0.2092,
t-11,-0.083226,0.0428,*,-0.04838,0.2399,,0.054683,0.1836,
t-12,0.00925,0.8223,,0.058711,0.154,,0.04629,0.2608,
t-13,0.063661,0.1221,,-0.009457,0.8187,,-0.060073,0.1447,
t-14,0.027556,0.5041,,-0.03081,0.4555,,-0.054245,0.1882,
