label,n_obs,total_return,ann_return,sharpe,sortino,max_drawdown,calmar,win_rate,profit_factor,sharpe_p,strategy_variant,regime,asset
Buy-and-Hold,604,-34.58,-22.62,0.1193,0.1664,-79.36,-0.2851,51.16,1.0172,0.438,Long/Cash,Full,ETH
Buy-and-Hold,337,266.38,308.12,2.8057,4.8419,-27.03,11.3994,53.41,1.4629,0.006,Long/Cash,CALM,ETH
Buy-and-Hold,264,-82.85,-91.26,-1.6661,-2.5385,-86.43,-1.0559,48.11,0.7966,0.917,Long/Cash,CRISIS,ETH
Simple_Sen,604,-6.36,-3.9,0.2105,0.237,-72.35,-0.0539,37.14,1.0429,0.376,Long/Cash,Full,ETH
Simple_Sen,604,-30.25,-19.56,0.1615,0.246,-81.95,-0.2387,50.33,1.0234,0.405,Long/Short,Full,ETH
Simple_Sen,337,87.77,97.86,1.8401,2.5915,-29.55,3.3119,38.46,1.4087,0.049,Long/Cash,CALM,ETH
Simple_Sen,337,-15.52,-16.69,-0.0436,-0.0735,-54.58,-0.3058,49.26,0.9941,0.497,Long/Short,CALM,ETH
Simple_Sen,264,-50.13,-61.79,-1.0114,-1.0837,-64.22,-0.9622,35.15,0.8172,0.783,Long/Cash,CRISIS,ETH
Simple_Sen,264,-13.57,-18.26,0.3652,0.5865,-69.68,-0.262,51.89,1.0511,0.374,Long/Short,CRISIS,ETH
FinBERT_Sen,604,3.34,2.01,0.3115,0.3631,-68.7,0.0292,36.75,1.0634,0.325,Long/Cash,Full,ETH
FinBERT_Sen,604,-16.46,-10.3,0.2896,0.4519,-76.36,-0.1348,50.17,1.0423,0.35,Long/Short,Full,ETH
FinBERT_Sen,337,105.2,117.83,2.056,2.9456,-28.64,4.1144,38.43,1.4577,0.033,Long/Cash,CALM,ETH
FinBERT_Sen,337,1.26,1.36,0.304,0.508,-53.41,0.0255,49.85,1.042,0.379,Long/Short,CALM,ETH
FinBERT_Sen,264,-49.64,-61.26,-1.0433,-1.1527,-60.01,-1.0209,34.15,0.8116,0.789,Long/Cash,CRISIS,ETH
FinBERT_Sen,264,-13.63,-18.34,0.362,0.6062,-59.63,-0.3075,50.76,1.0507,0.354,Long/Short,CRISIS,ETH
PageRank_Sen,604,-23.51,-14.95,-0.0017,-0.0018,-73.68,-0.2029,36.01,0.9997,0.499,Long/Cash,Full,ETH
PageRank_Sen,604,-53.03,-36.66,-0.1215,-0.1817,-82.89,-0.4423,49.01,0.9828,0.589,Long/Short,Full,ETH
PageRank_Sen,337,77.96,86.69,1.7187,2.3924,-31.55,2.7477,37.35,1.3746,0.056,Long/Cash,CALM,ETH
PageRank_Sen,337,-24.45,-26.19,-0.2578,-0.4199,-59.28,-0.4417,48.37,0.9657,0.589,Long/Short,CALM,ETH
PageRank_Sen,264,-57.02,-68.88,-1.267,-1.3317,-66.39,-1.0375,33.95,0.7741,0.84,Long/Cash,CRISIS,ETH
PageRank_Sen,264,-34.93,-44.79,0.0099,0.0156,-68.26,-0.6561,50.0,1.0014,0.489,Long/Short,CRISIS,ETH
HITS_Sen,604,-61.32,-43.67,-0.7086,-0.7368,-81.03,-0.5389,33.81,0.8614,0.812,Long/Cash,Full,ETH
HITS_Sen,604,-87.83,-71.99,-1.0847,-1.5349,-93.03,-0.7739,48.18,0.8563,0.92,Long/Short,Full,ETH
HITS_Sen,337,27.38,29.97,0.8354,1.0832,-41.31,0.7254,36.05,1.1679,0.22,Long/Cash,CALM,ETH
HITS_Sen,337,-61.23,-64.16,-1.5337,-2.3707,-73.49,-0.8731,48.07,0.8126,0.941,Long/Short,CALM,ETH
HITS_Sen,264,-69.63,-80.75,-1.8949,-1.8416,-74.35,-1.0861,30.19,0.6609,0.942,Long/Cash,CRISIS,ETH
HITS_Sen,264,-67.14,-78.53,-0.8407,-1.2423,-80.67,-0.9735,48.48,0.8915,0.731,Long/Short,CRISIS,ETH
LRR_Social_Sen,604,-16.6,-10.39,0.0875,0.0954,-72.9,-0.1425,36.84,1.0178,0.457,Long/Cash,Full,ETH
LRR_Social_Sen,604,-44.66,-30.06,-0.0025,-0.0037,-83.0,-0.3622,50.33,0.9996,0.505,Long/Short,Full,ETH
LRR_Social_Sen,337,109.2,122.43,2.1223,2.9964,-27.52,4.4483,38.74,1.4784,0.026,Long/Cash,CALM,ETH
LRR_Social_Sen,337,4.91,5.33,0.3727,0.6102,-52.71,0.1011,50.45,1.0517,0.345,Long/Short,CALM,ETH
LRR_Social_Sen,264,-60.13,-71.96,-1.4516,-1.4867,-65.51,-1.0984,33.94,0.7427,0.877,Long/Cash,CRISIS,ETH
LRR_Social_Sen,264,-44.78,-56.0,-0.1943,-0.2996,-72.9,-0.7682,50.38,0.9738,0.545,Long/Short,CRISIS,ETH
LRR_Oracle_Sen,604,-30.86,-19.99,-0.1418,-0.167,-71.91,-0.278,34.1,0.9735,0.56,Long/Cash,Full,ETH
LRR_Oracle_Sen,604,-63.41,-45.53,-0.3015,-0.4597,-82.8,-0.5499,48.18,0.9579,0.654,Long/Short,Full,ETH
LRR_Oracle_Sen,337,92.71,103.5,1.9715,2.7624,-26.74,3.8713,35.08,1.4514,0.029,Long/Cash,CALM,ETH
LRR_Oracle_Sen,337,-12.16,-13.1,0.0328,0.0522,-46.14,-0.2839,48.96,1.0044,0.501,Long/Short,CALM,ETH
LRR_Oracle_Sen,264,-64.12,-75.76,-1.7501,-2.0629,-71.25,-1.0633,32.8,0.7305,0.933,Long/Cash,CRISIS,ETH
LRR_Oracle_Sen,264,-56.4,-68.26,-0.4955,-0.8201,-73.05,-0.9344,47.35,0.9348,0.656,Long/Short,CRISIS,ETH
