asset,horizon,target,source,variance%
LTC,1,price_change,price_change,100.0
LTC,1,price_change,LRR_Oracle_Sen,0.0
LTC,1,price_change,omega,0.0
LTC,1,LRR_Oracle_Sen,price_change,0.07
LTC,1,LRR_Oracle_Sen,LRR_Oracle_Sen,99.93
LTC,1,LRR_Oracle_Sen,omega,0.0
LTC,1,omega,price_change,0.05
LTC,1,omega,LRR_Oracle_Sen,27.42
LTC,1,omega,omega,72.53
LTC,3,price_change,price_change,99.49
LTC,3,price_change,LRR_Oracle_Sen,0.08
LTC,3,price_change,omega,0.43
LTC,3,LRR_Oracle_Sen,price_change,0.93
LTC,3,LRR_Oracle_Sen,LRR_Oracle_Sen,93.76
LTC,3,LRR_Oracle_Sen,omega,5.31
LTC,3,omega,price_change,0.14
LTC,3,omega,LRR_Oracle_Sen,28.44
LTC,3,omega,omega,71.42
LTC,5,price_change,price_change,99.45
LTC,5,price_change,LRR_Oracle_Sen,0.12
LTC,5,price_change,omega,0.43
LTC,5,LRR_Oracle_Sen,price_change,0.95
LTC,5,LRR_Oracle_Sen,LRR_Oracle_Sen,93.73
LTC,5,LRR_Oracle_Sen,omega,5.32
LTC,5,omega,price_change,0.17
LTC,5,omega,LRR_Oracle_Sen,28.35
LTC,5,omega,omega,71.48
LTC,10,price_change,price_change,99.44
LTC,10,price_change,LRR_Oracle_Sen,0.12
LTC,10,price_change,omega,0.44
LTC,10,LRR_Oracle_Sen,price_change,0.95
LTC,10,LRR_Oracle_Sen,LRR_Oracle_Sen,93.7
LTC,10,LRR_Oracle_Sen,omega,5.35
LTC,10,omega,price_change,0.17
LTC,10,omega,LRR_Oracle_Sen,28.36
LTC,10,omega,omega,71.48
