label,n_obs,total_return,ann_return,sharpe,sortino,max_drawdown,calmar,win_rate,profit_factor,sharpe_p,strategy_variant,regime,asset
Buy-and-Hold,604,-45.19,-30.47,0.0286,0.0398,-84.42,-0.3609,51.66,1.0041,0.507,Long/Cash,Full,LTC
Buy-and-Hold,467,11.01,8.51,0.4565,0.7182,-62.82,0.1354,52.46,1.0634,0.316,Long/Cash,CALM,LTC
Buy-and-Hold,134,-48.9,-83.94,-0.6322,-0.925,-74.97,-1.1196,48.51,0.9164,0.67,Long/Cash,CRISIS,LTC
Simple_Sen,604,2.29,1.38,0.3219,0.3567,-72.82,0.0189,38.83,1.0659,0.334,Long/Cash,Full,LTC
Simple_Sen,604,-4.32,-2.64,0.4081,0.6048,-80.29,-0.0328,52.32,1.0604,0.284,Long/Short,Full,LTC
Simple_Sen,467,13.2,10.18,0.443,0.5137,-59.46,0.1712,39.26,1.0865,0.306,Long/Cash,CALM,LTC
Simple_Sen,467,-11.17,-8.85,0.1964,0.3106,-68.49,-0.1291,52.25,1.0268,0.424,Long/Short,CALM,LTC
Simple_Sen,134,-9.64,-24.13,0.1169,0.1262,-53.66,-0.4497,37.21,1.0236,0.506,Long/Cash,CRISIS,LTC
Simple_Sen,134,4.97,14.13,0.7808,1.2206,-60.37,0.2341,52.99,1.114,0.328,Long/Short,CRISIS,LTC
FinBERT_Sen,604,4.96,2.97,0.3449,0.3889,-71.5,0.0415,38.42,1.0704,0.32,Long/Cash,Full,LTC
FinBERT_Sen,604,-0.57,-0.35,0.4341,0.6501,-76.13,-0.0046,52.32,1.0644,0.274,Long/Short,Full,LTC
FinBERT_Sen,467,11.97,9.24,0.4266,0.4989,-59.03,0.1565,38.99,1.0821,0.321,Long/Cash,CALM,LTC
FinBERT_Sen,467,-12.46,-9.88,0.1796,0.2815,-67.83,-0.1456,52.46,1.0245,0.415,Long/Short,CALM,LTC
FinBERT_Sen,134,-6.26,-16.15,0.2067,0.2237,-47.19,-0.3422,36.14,1.0436,0.477,Long/Cash,CRISIS,LTC
FinBERT_Sen,134,10.69,31.86,0.8843,1.4156,-55.09,0.5783,52.24,1.13,0.308,Long/Short,CRISIS,LTC
PageRank_Sen,604,-29.68,-19.16,-0.069,-0.0749,-74.47,-0.2573,37.47,0.9862,0.551,Long/Cash,Full,LTC
PageRank_Sen,604,-55.66,-38.83,-0.1207,-0.1769,-83.15,-0.467,51.16,0.9828,0.552,Long/Short,Full,LTC
PageRank_Sen,467,-5.18,-4.07,0.1652,0.189,-61.46,-0.0663,38.48,1.0315,0.425,Long/Cash,CALM,LTC
PageRank_Sen,467,-37.38,-30.64,-0.2107,-0.3271,-71.14,-0.4307,51.61,0.9721,0.586,Long/Short,CALM,LTC
PageRank_Sen,134,-25.83,-55.69,-0.5665,-0.5844,-50.76,-1.0971,33.33,0.8868,0.658,Long/Cash,CRISIS,LTC
PageRank_Sen,134,-30.99,-63.58,-0.0484,-0.0762,-55.4,-1.1477,50.0,0.9933,0.532,Long/Short,CRISIS,LTC
HITS_Sen,604,-68.39,-50.15,-0.8537,-0.8764,-80.45,-0.6233,34.05,0.8378,0.863,Long/Cash,Full,LTC
HITS_Sen,604,-90.8,-76.35,-1.1948,-1.6433,-92.45,-0.8259,47.85,0.8421,0.942,Long/Short,Full,LTC
HITS_Sen,467,-38.73,-31.81,-0.5741,-0.6358,-68.27,-0.4659,35.33,0.898,0.759,Long/Cash,CALM,LTC
HITS_Sen,467,-74.69,-65.83,-1.2651,-1.8692,-85.99,-0.7656,48.39,0.8435,0.928,Long/Short,CALM,LTC
HITS_Sen,134,-48.42,-83.52,-1.4808,-1.4608,-47.79,-1.7476,28.92,0.7259,0.817,Long/Cash,CRISIS,LTC
HITS_Sen,134,-64.57,-94.08,-1.3484,-1.9588,-57.54,-1.6351,46.27,0.8301,0.815,Long/Short,CRISIS,LTC
LRR_Social_Sen,604,-16.5,-10.32,0.1198,0.1293,-75.11,-0.1374,38.76,1.0242,0.451,Long/Cash,Full,LTC
LRR_Social_Sen,604,-35.8,-23.49,0.1349,0.1938,-81.15,-0.2895,53.31,1.0196,0.422,Long/Short,Full,LTC
LRR_Social_Sen,467,17.98,13.79,0.5091,0.5893,-58.56,0.2356,39.94,1.0985,0.293,Long/Cash,CALM,LTC
