source_user,tweet_count,mean_sen,std_sen,unique_dates,mean_omega
Cointelegraph,57717,0.17767226293812913,0.31928707577124293,568,0.5333937265326631
maxkeiser,25777,0.029677619583349496,0.3780787860688253,565,0.5328858090545836
CoinDesk,23659,0.17306141426095778,0.30088421570262724,570,0.5279253440249256
BitcoinMagazine,14566,0.18113071536454756,0.33791191334746556,574,0.5475666424746474
BTCTN,12128,0.17605870712401053,0.3424284278284801,574,0.5193840404730494
APompliano,10940,0.17469195612431446,0.3457991352651121,569,0.5446761230086185
NeerajKA,10890,0.08240404040404041,0.37359483110119734,477,0.544446608946609
adam3us,10092,0.09050535077288942,0.30479659365423756,546,0.5552981852669724
CoinMarketCap,9791,0.17257889898886733,0.3235655201697968,577,0.5386167690444578
binance,9071,0.2503770256862529,0.3171874244766064,572,0.5330162842339008
Blockworks_,8992,0.18892126334519574,0.33532732532564136,403,0.5309751922343671
RaoulGMI,8498,0.16980230642504118,0.3600634592694,554,0.5596910197357361
danheld,8192,0.0846044921875,0.34741420914134474,422,0.5490613664899554
DylanLeClair_,8131,0.06581355306850326,0.34125765756903126,415,0.5537178259570954
elonmusk,7783,0.13332134138507004,0.3633731507526313,547,0.5477884950716764
cz_binance,6897,0.15364216325938815,0.34993376669854254,565,0.5390516062884484
lopp,6062,0.06172550313427912,0.34180609402518886,425,0.5484528915492294
ErikVoorhees,6016,0.1080186170212766,0.34804242532759216,455,0.5578306064779636
mcshane_writes,5870,0.08595911413969336,0.36932706258755144,452,0.5432782915551229
THORChain,5086,0.20065867086118758,0.30047229078980126,423,0.5545529745519915
coingecko,5085,0.1860117994100295,0.29546038143355163,570,0.5393533501896334
DefiantNews,4813,0.1057822563889466,0.3075630151236737,383,0.5484544833931911
nayibbukele,4063,0.03545902042825498,0.198405087537923,466,0.5114354277275763
lawmaster,3874,0.057137325761486835,0.33867542937273126,451,0.5784760122427908
0xPolygon,3670,0.30089373297002725,0.2750282170690996,393,0.5363176333203581
godbole17,3507,0.028922155688622758,0.3578741527780572,382,0.5357903580593915
cryptocom,3334,0.23306838632273544,0.28553701381957747,408,0.532611084925872
NischalShetty,3238,0.25073810994441015,0.29388491960938223,521,0.5558452086826083
100trillionUSD,3215,0.058239502332814934,0.3334085229576994,394,0.5511396356365252
Unchained_pod,3129,0.1335123042505593,0.33585506583669905,365,0.5348691960005479
IOHK_Charles,3058,0.14422825376062787,0.35061608876468586,418,0.5521905073343922
VitalikButerin,2642,0.1265442846328539,0.29401356991681193,330,0.5747040932194225
mcuban,2455,0.16882281059063137,0.30400953980831086,399,0.5628386674425371
noshitcoins,2359,0.0405977108944468,0.32050973054478815,406,0.5359036819475564
zhusu,2349,0.13581524052788418,0.34614718278881884,276,0.5536159764033327
namcios,2341,0.14611704399829134,0.3329732695888066,339,0.5450355464697626
