phi,iterations,omega_floor,granger_F,granger_p,joint_crashes
0.05,3,0.0,12.152,0.0,7
0.05,3,0.05,12.152,0.0,7
0.05,3,0.1,12.152,0.0,7
0.05,5,0.0,12.099,0.0,7
0.05,5,0.05,12.099,0.0,7
0.05,5,0.1,12.099,0.0,7
0.05,7,0.0,12.09,0.0,7
0.05,7,0.05,12.09,0.0,7
0.05,7,0.1,12.09,0.0,7
0.1,3,0.0,12.179,0.0,7
0.1,3,0.05,12.179,0.0,7
0.1,3,0.1,12.179,0.0,7
0.1,5,0.0,12.124,0.0,7
0.1,5,0.05,12.124,0.0,7
0.1,5,0.1,12.124,0.0,7
0.1,7,0.0,12.114,0.0,7
0.1,7,0.05,12.114,0.0,7
0.1,7,0.1,12.114,0.0,7
0.15,3,0.0,12.207,0.0,7
0.15,3,0.05,12.207,0.0,7
0.15,3,0.1,12.207,0.0,7
0.15,5,0.0,12.15,0.0,7
0.15,5,0.05,12.15,0.0,7
0.15,5,0.1,12.15,0.0,7
0.15,7,0.0,12.14,0.0,7
0.15,7,0.05,12.14,0.0,7
0.15,7,0.1,12.14,0.0,7
0.2,3,0.0,12.238,0.0,7
0.2,3,0.05,12.238,0.0,7
0.2,3,0.1,12.238,0.0,7
0.2,5,0.0,12.178,0.0,7
0.2,5,0.05,12.178,0.0,7
0.2,5,0.1,12.178,0.0,7
0.2,7,0.0,12.167,0.0,7
0.2,7,0.05,12.167,0.0,7
0.2,7,0.1,12.167,0.0,7
0.3,3,0.0,12.31,0.0,7
0.3,3,0.05,12.31,0.0,7
0.3,3,0.1,12.31,0.0,7
0.3,5,0.0,12.244,0.0,7
0.3,5,0.05,12.244,0.0,7
0.3,5,0.1,12.244,0.0,7
0.3,7,0.0,12.231,0.0,7
0.3,7,0.05,12.231,0.0,7
0.3,7,0.1,12.231,0.0,7
