dropped_channel,tweets_dropped,pct_dropped,granger_F,granger_p,F_change_pct
ethhub_io,24,0.01,16.671,0.0,37.2
ethereumJoseph,210,0.06,15.922,0.0,31.0
VitalikButerin,2642,0.75,61.566,0.0,406.7
SatoshiLite,1174,0.33,0.953,0.329,-92.2
Bitcoin,1389,0.4,16.858,0.0,38.8
mcshane_writes,5870,1.67,40.923,0.0,236.8
ethereum,561,0.16,6.455,0.0016,-46.9
coinbase,1145,0.33,10.4,0.0,-14.4
aantonop,357,0.1,12.311,0.0,1.3
BarrySilbert,1750,0.5,10.719,0.0,-11.8
brian_armstrong,1285,0.37,17.884,0.0,47.2
coingecko,5085,1.45,10.565,0.0,-13.0
naval,1865,0.53,12.08,0.0,-0.6
ErikVoorhees,6016,1.71,11.486,0.0,-5.5
CoinMarketCap,9791,2.79,11.826,0.0,-2.7
adam3us,10092,2.88,10.862,0.0,-10.6
AndreCronjeTech,1506,0.43,11.614,0.0,-4.4
cz_binance,6897,1.97,12.222,0.0,0.6
BitcoinMagazine,14566,4.15,12.302,0.0,1.3
elonmusk,7783,2.22,11.607,0.0,-4.5
RaoulGMI,8498,2.42,11.81,0.0,-2.8
binance,9071,2.59,11.92,0.0,-1.9
BTCTN,12128,3.46,11.179,0.0,-8.0
CoinDesk,23659,6.74,11.774,0.0,-3.1
maxkeiser,25777,7.35,9.647,0.0001,-20.6
APompliano,10940,3.12,11.179,0.0,-8.0
Cointelegraph,57717,16.45,14.61,0.0,20.2
iamjosephyoung,472,0.13,12.174,0.0,0.2
NischalShetty,3238,0.92,12.325,0.0,1.4
CointelegraphZN,460,0.13,12.146,0.0,-0.0
OurNetwork__,324,0.09,12.194,0.0,0.4
lawmaster,3874,1.1,13.205,0.0,8.7
CoinDeskMarkets,777,0.22,12.186,0.0,0.3
nayibbukele,4063,1.16,12.02,0.0,-1.1
NeerajKA,10890,3.1,11.896,0.0,-2.1
JamieCrawleyCD,1003,0.29,12.226,0.0,0.6
coindanslecoin,637,0.18,12.369,0.0,1.8
todayindefi,489,0.14,12.124,0.0,-0.2
bitfinex,1473,0.42,11.952,0.0,-1.6
Liquid_BTC,735,0.21,12.327,0.0,1.5
novogratz,788,0.22,12.195,0.0,0.4
namcios,2341,0.67,12.239,0.0,0.7
noshitcoins,2359,0.67,12.081,0.0,-0.6
pete_rizzo_,1610,0.46,12.345,0.0,1.6
100trillionUSD,3215,0.92,12.361,0.0,1.7
Grayscale,1154,0.33,12.038,0.0,-0.9
solana,1787,0.51,12.075,0.0,-0.6
krakenfx,1700,0.48,11.946,0.0,-1.7
Tanzeel_Akhtar,999,0.28,12.115,0.0,-0.3
ShapeShift_io,480,0.14,12.194,0.0,0.4
saylor,1405,0.4,12.14,0.0,-0.1
IOHK_Charles,3058,0.87,12.413,0.0,2.2
BY_DeFi,1239,0.35,12.304,0.0,1.3
WeekInEthNews,775,0.22,11.812,0.0,-2.8
muneeb,2327,0.66,12.046,0.0,-0.9
Blockstream,1791,0.51,12.071,0.0,-0.6
zhusu,2349,0.67,12.14,0.0,-0.1
orangepillpod,1855,0.53,11.994,0.0,-1.3
real_vijay,1312,0.37,12.11,0.0,-0.3
godbole17,3507,1.0,12.108,0.0,-0.3
Stacks,2296,0.65,11.906,0.0,-2.0
0xPolygon,3670,1.05,11.774,0.0,-3.1
mcuban,2455,0.7,12.583,0.0,3.6
THORChain,5086,1.45,12.12,0.0,-0.2
cryptocom,3334,0.95,11.951,0.0,-1.6
lopp,6062,1.73,12.286,0.0,1.1
Blockworks_,8992,2.56,11.773,0.0,-3.1
danheld,8192,2.34,12.475,0.0,2.7
DylanLeClair_,8131,2.32,13.517,0.0,11.3
defipulse,923,0.26,12.08,0.0,-0.6
coinmetrics,1306,0.37,12.177,0.0,0.2
DefiantNews,4813,1.37,12.759,0.0,5.0
Unchained_pod,3129,0.89,12.08,0.0,-0.6
AndreCronje123,40,0.01,12.162,0.0,0.1
shapeshift_io,5,0.0,12.151,0.0,0.0
ournetwork__,82,0.02,12.135,0.0,-0.1
