asset,signal,te_raw,te_winsorized,te_change_pct,winsorize_pct
BTC,Full_LRR,0.047934,0.366942,665.5,5
BTC,PageRank,0.090128,0.399475,343.2,5
BTC,HITS,0.069737,0.376091,439.3,5
BTC,Simple,0.078998,0.375829,375.7,5
ETH,Full_LRR,0.04233,0.345761,716.8,5
ETH,PageRank,0.09084,0.377442,315.5,5
ETH,HITS,0.074614,0.382874,413.1,5
ETH,Simple,0.093526,0.375815,301.8,5
DOGE,Full_LRR,0.021257,0.327271,1439.6,5
DOGE,PageRank,0.051422,0.373154,625.7,5
DOGE,HITS,0.040725,0.349953,759.3,5
DOGE,Simple,0.051185,0.35916,601.7,5
LTC,Full_LRR,0.031821,0.357208,1022.5,5
LTC,PageRank,0.085857,0.411034,378.7,5
LTC,HITS,0.056718,0.376693,564.1,5
LTC,Simple,0.072578,0.389636,436.8,5
SOL,Full_LRR,0.014615,0.366911,2410.4,5
SOL,PageRank,0.052966,0.364591,588.3,5
SOL,HITS,0.051339,0.371795,624.2,5
SOL,Simple,0.050171,0.355901,609.4,5
XRP,Full_LRR,0.045195,0.383551,748.7,5
XRP,PageRank,0.101552,0.390664,284.7,5
XRP,HITS,0.076159,0.376712,394.6,5
XRP,Simple,0.096075,0.376816,292.2,5
