asset,horizon,target,source,variance%
SOL,1,price_change,price_change,100.0
SOL,1,price_change,LRR_Oracle_Sen,0.0
SOL,1,price_change,omega,0.0
SOL,1,LRR_Oracle_Sen,price_change,0.24
SOL,1,LRR_Oracle_Sen,LRR_Oracle_Sen,99.76
SOL,1,LRR_Oracle_Sen,omega,0.0
SOL,1,omega,price_change,0.29
SOL,1,omega,LRR_Oracle_Sen,27.68
SOL,1,omega,omega,72.03
SOL,3,price_change,price_change,99.56
SOL,3,price_change,LRR_Oracle_Sen,0.05
SOL,3,price_change,omega,0.39
SOL,3,LRR_Oracle_Sen,price_change,0.61
SOL,3,LRR_Oracle_Sen,LRR_Oracle_Sen,94.16
SOL,3,LRR_Oracle_Sen,omega,5.23
SOL,3,omega,price_change,0.99
SOL,3,omega,LRR_Oracle_Sen,28.43
SOL,3,omega,omega,70.59
SOL,5,price_change,price_change,99.52
SOL,5,price_change,LRR_Oracle_Sen,0.09
SOL,5,price_change,omega,0.39
SOL,5,LRR_Oracle_Sen,price_change,0.77
SOL,5,LRR_Oracle_Sen,LRR_Oracle_Sen,93.99
SOL,5,LRR_Oracle_Sen,omega,5.24
SOL,5,omega,price_change,1.09
SOL,5,omega,LRR_Oracle_Sen,28.3
SOL,5,omega,omega,70.61
SOL,10,price_change,price_change,99.52
SOL,10,price_change,LRR_Oracle_Sen,0.09
SOL,10,price_change,omega,0.4
SOL,10,LRR_Oracle_Sen,price_change,0.77
SOL,10,LRR_Oracle_Sen,LRR_Oracle_Sen,93.96
SOL,10,LRR_Oracle_Sen,omega,5.27
SOL,10,omega,price_change,1.1
SOL,10,omega,LRR_Oracle_Sen,28.3
SOL,10,omega,omega,70.6
