label,n_obs,total_return,ann_return,sharpe,sortino,max_drawdown,calmar,win_rate,profit_factor,sharpe_p,strategy_variant,regime,asset
Buy-and-Hold,604,-28.68,-18.48,0.4746,0.7201,-96.27,-0.1919,48.84,1.0719,0.264,Long/Cash,Full,SOL
Buy-and-Hold,493,-79.5,-69.07,-0.7379,-1.237,-90.42,-0.7639,46.86,0.9053,0.794,Long/Cash,CALM,SOL
Buy-and-Hold,108,202.05,4092.53,2.8771,3.9614,-72.12,56.7426,57.41,1.5088,0.058,Long/Cash,CRISIS,SOL
Simple_Sen,604,85.39,45.21,0.8589,1.1142,-78.9,0.573,35.92,1.1855,0.145,Long/Cash,Full,SOL
Simple_Sen,604,5.01,3.0,0.6526,0.9762,-74.34,0.0403,50.66,1.1002,0.188,Long/Short,Full,SOL
Simple_Sen,493,-57.85,-47.25,-0.5074,-0.6359,-84.62,-0.5584,33.52,0.9101,0.712,Long/Cash,CALM,SOL
Simple_Sen,493,-48.92,-39.19,-0.0349,-0.0573,-87.23,-0.4492,49.29,0.9953,0.494,Long/Short,CALM,SOL
Simple_Sen,108,339.87,14834.81,4.9999,5.7795,-28.23,525.5045,50.88,3.2878,0.002,Long/Cash,CRISIS,SOL
Simple_Sen,108,147.77,2046.55,2.5176,3.6314,-43.61,46.9237,57.41,1.4336,0.076,Long/Short,CRISIS,SOL
FinBERT_Sen,604,101.72,52.81,0.9206,1.2152,-76.63,0.6892,35.56,1.1991,0.129,Long/Cash,Full,SOL
FinBERT_Sen,604,23.66,13.69,0.7307,1.0986,-74.95,0.1827,50.66,1.1128,0.153,Long/Short,Full,SOL
FinBERT_Sen,493,-51.25,-41.25,-0.3629,-0.4652,-81.71,-0.5049,33.33,0.9355,0.651,Long/Cash,CALM,SOL
FinBERT_Sen,493,-31.83,-24.7,0.1859,0.3087,-81.33,-0.3037,49.49,1.0253,0.414,Long/Short,CALM,SOL
FinBERT_Sen,108,313.78,12046.83,4.8192,5.5638,-28.23,426.7436,50.0,3.2024,0.002,Long/Cash,CRISIS,SOL
FinBERT_Sen,108,118.62,1306.05,2.3133,3.3841,-43.61,29.9452,56.48,1.3921,0.092,Long/Short,CRISIS,SOL
PageRank_Sen,604,28.87,16.56,0.5923,0.7636,-86.7,0.191,34.55,1.124,0.236,Long/Cash,Full,SOL
PageRank_Sen,604,-49.69,-33.98,0.3001,0.4484,-87.03,-0.3904,49.34,1.0448,0.352,Long/Short,Full,SOL
PageRank_Sen,493,-67.72,-56.71,-0.7827,-0.9706,-88.3,-0.6422,32.68,0.8661,0.815,Long/Cash,CALM,SOL
PageRank_Sen,493,-70.25,-59.24,-0.448,-0.7181,-92.39,-0.6413,48.28,0.9415,0.683,Long/Short,CALM,SOL
PageRank_Sen,108,299.28,10667.07,4.7025,5.5604,-28.23,377.8676,46.43,3.1297,0.003,Long/Cash,CRISIS,SOL
PageRank_Sen,108,103.8,1009.25,2.1994,3.2366,-43.61,23.1402,54.63,1.3695,0.099,Long/Short,CRISIS,SOL
HITS_Sen,604,-79.2,-61.28,-0.8386,-0.9731,-93.1,-0.6582,31.18,0.8419,0.869,Long/Cash,Full,SOL
HITS_Sen,604,-98.85,-93.28,-1.5074,-2.1399,-99.19,-0.9405,46.19,0.8022,0.977,Long/Short,Full,SOL
HITS_Sen,493,-84.46,-74.8,-1.7708,-2.0153,-90.98,-0.8221,30.4,0.7107,0.969,Long/Cash,CALM,SOL
HITS_Sen,493,-94.0,-87.54,-1.6724,-2.5169,-97.74,-0.8956,46.65,0.7981,0.967,Long/Short,CALM,SOL
HITS_Sen,108,33.85,167.86,1.4256,1.6029,-40.01,4.1952,35.38,1.3612,0.229,Long/Cash,CRISIS,SOL
HITS_Sen,108,-76.99,-99.3,-1.2705,-1.939,-82.48,-1.204,44.44,0.8346,0.746,Long/Short,CRISIS,SOL
LRR_Social_Sen,604,64.08,34.88,0.7713,0.999,-82.83,0.4212,34.93,1.1651,0.169,Long/Cash,Full,SOL
LRR_Social_Sen,604,-13.92,-8.66,0.5575,0.8345,-74.75,-0.1158,49.83,1.0849,0.228,Long/Short,Full,SOL
LRR_Social_Sen,493,-51.26,-41.26,-0.3748,-0.4791,-81.6,-0.5057,33.15,0.9331,0.646,Long/Cash,CALM,SOL
LRR_Social_Sen,493,-32.9,-25.58,0.1737,0.289,-82.94,-0.3084,49.09,1.0237,0.389,Long/Short,CALM,SOL
LRR_Social_Sen,108,236.67,5950.14,3.9547,4.4727,-30.1,197.648,45.76,2.405,0.013,Long/Cash,CRISIS,SOL
LRR_Social_Sen,108,54.63,336.23,1.7562,2.5917,-43.61,7.7092,53.7,1.2851,0.156,Long/Short,CRISIS,SOL
LRR_Oracle_Sen,604,-61.81,-44.11,-0.359,-0.4784,-91.73,-0.4808,31.34,0.9327,0.685,Long/Cash,Full,SOL
LRR_Oracle_Sen,604,-96.04,-85.78,-0.9222,-1.4186,-98.3,-0.8727,46.52,0.8739,0.881,Long/Short,Full,SOL
LRR_Oracle_Sen,493,-87.12,-78.07,-1.7265,-2.1448,-92.1,-0.8477,29.95,0.7269,0.974,Long/Cash,CALM,SOL
LRR_Oracle_Sen,493,-95.28,-89.57,-1.8691,-3.0343,-97.38,-0.9199,45.84,0.7774,0.982,Long/Short,CALM,SOL
LRR_Oracle_Sen,108,196.47,3836.62,4.2186,6.7314,-20.26,189.4037,40.0,2.7215,0.004,Long/Cash,CRISIS,SOL
LRR_Oracle_Sen,108,1.22,4.2,1.0686,1.6735,-72.53,0.0579,50.0,1.1647,0.267,Long/Short,CRISIS,SOL
