asset,horizon,target,source,variance%
XRP,1,price_change,price_change,100.0
XRP,1,price_change,LRR_Oracle_Sen,0.0
XRP,1,price_change,omega,0.0
XRP,1,LRR_Oracle_Sen,price_change,0.27
XRP,1,LRR_Oracle_Sen,LRR_Oracle_Sen,99.73
XRP,1,LRR_Oracle_Sen,omega,0.0
XRP,1,omega,price_change,0.03
XRP,1,omega,LRR_Oracle_Sen,27.54
XRP,1,omega,omega,72.44
XRP,3,price_change,price_change,99.12
XRP,3,price_change,LRR_Oracle_Sen,0.52
XRP,3,price_change,omega,0.37
XRP,3,LRR_Oracle_Sen,price_change,1.29
XRP,3,LRR_Oracle_Sen,LRR_Oracle_Sen,93.43
XRP,3,LRR_Oracle_Sen,omega,5.28
XRP,3,omega,price_change,0.11
XRP,3,omega,LRR_Oracle_Sen,28.59
XRP,3,omega,omega,71.3
XRP,5,price_change,price_change,99.05
XRP,5,price_change,LRR_Oracle_Sen,0.57
XRP,5,price_change,omega,0.38
XRP,5,LRR_Oracle_Sen,price_change,1.33
XRP,5,LRR_Oracle_Sen,LRR_Oracle_Sen,93.38
XRP,5,LRR_Oracle_Sen,omega,5.29
XRP,5,omega,price_change,0.13
XRP,5,omega,LRR_Oracle_Sen,28.5
XRP,5,omega,omega,71.37
XRP,10,price_change,price_change,99.05
XRP,10,price_change,LRR_Oracle_Sen,0.57
XRP,10,price_change,omega,0.38
XRP,10,LRR_Oracle_Sen,price_change,1.33
XRP,10,LRR_Oracle_Sen,LRR_Oracle_Sen,93.35
XRP,10,LRR_Oracle_Sen,omega,5.32
XRP,10,omega,price_change,0.14
XRP,10,omega,LRR_Oracle_Sen,28.5
XRP,10,omega,omega,71.36
