label,n_obs,total_return,ann_return,sharpe,sortino,max_drawdown,calmar,win_rate,profit_factor,sharpe_p,strategy_variant,regime,asset
Buy-and-Hold,604,-56.02,-39.13,-0.1054,-0.1531,-77.83,-0.5028,50.17,0.9843,0.555,Long/Cash,Full,XRP
Buy-and-Hold,484,-34.13,-27.01,-0.1503,-0.2295,-70.31,-0.3842,50.62,0.9793,0.573,Long/Cash,CALM,XRP
Buy-and-Hold,117,-29.11,-65.82,0.0608,0.1005,-53.16,-1.2382,47.86,1.0085,0.466,Long/Cash,CRISIS,XRP
Simple_Sen,604,27.55,15.84,0.5414,0.6434,-63.52,0.2493,37.38,1.1222,0.25,Long/Cash,Full,XRP
Simple_Sen,604,71.92,38.74,0.8142,1.1633,-75.8,0.5111,51.32,1.13,0.149,Long/Short,Full,XRP
Simple_Sen,484,-31.8,-25.07,-0.3316,-0.3936,-66.37,-0.3777,36.31,0.9376,0.647,Long/Cash,CALM,XRP
Simple_Sen,484,-44.77,-36.09,-0.351,-0.5582,-73.7,-0.4897,48.35,0.9525,0.652,Long/Short,CALM,XRP
Simple_Sen,117,87.01,604.88,2.7007,2.8777,-14.75,41.0182,43.08,1.9439,0.052,Long/Cash,CRISIS,XRP
Simple_Sen,117,195.73,2844.73,3.0108,4.1057,-36.11,78.7786,64.1,1.5213,0.034,Long/Short,CRISIS,XRP
FinBERT_Sen,604,44.08,24.7,0.6675,0.8193,-56.89,0.4341,36.99,1.1522,0.205,Long/Cash,Full,XRP
FinBERT_Sen,604,116.73,59.59,0.9701,1.4096,-64.12,0.9293,51.16,1.1567,0.113,Long/Short,Full,XRP
FinBERT_Sen,484,-20.81,-16.13,-0.117,-0.1461,-59.47,-0.2713,35.96,0.9778,0.56,Long/Cash,CALM,XRP
FinBERT_Sen,484,-26.38,-20.62,-0.0237,-0.0396,-62.57,-0.3295,48.35,0.9967,0.501,Long/Short,CALM,XRP
FinBERT_Sen,117,81.94,546.99,2.6021,2.7401,-14.75,37.0922,42.86,1.9096,0.057,Long/Cash,CRISIS,XRP
FinBERT_Sen,117,179.65,2373.36,2.8922,3.9775,-36.11,65.725,63.25,1.496,0.038,Long/Short,CRISIS,XRP
PageRank_Sen,604,20.55,11.96,0.4833,0.5718,-65.21,0.1834,36.74,1.1094,0.267,Long/Cash,Full,XRP
PageRank_Sen,604,53.56,29.59,0.738,1.0535,-71.87,0.4117,50.99,1.1171,0.183,Long/Short,Full,XRP
PageRank_Sen,484,-33.68,-26.63,-0.3734,-0.4399,-67.29,-0.3958,35.73,0.9294,0.665,Long/Cash,CALM,XRP
PageRank_Sen,484,-47.74,-38.7,-0.4147,-0.6535,-74.16,-0.5219,48.14,0.944,0.68,Long/Short,CALM,XRP
PageRank_Sen,117,81.76,544.97,2.5984,2.7659,-14.75,36.9555,42.19,1.9072,0.057,Long/Cash,CRISIS,XRP
PageRank_Sen,117,179.15,2359.7,2.889,3.9718,-36.11,65.3469,63.25,1.4953,0.038,Long/Short,CRISIS,XRP
HITS_Sen,604,-48.23,-32.82,-0.3616,-0.3968,-68.64,-0.4782,32.85,0.9257,0.671,Long/Cash,Full,XRP
HITS_Sen,604,-71.03,-52.7,-0.377,-0.5017,-80.41,-0.6554,47.19,0.9451,0.672,Long/Short,Full,XRP
HITS_Sen,484,-45.28,-36.53,-0.7054,-0.821,-71.95,-0.5077,31.98,0.8701,0.785,Long/Cash,CALM,XRP
HITS_Sen,484,-65.26,-54.94,-0.8783,-1.3439,-82.87,-0.663,45.04,0.8855,0.843,Long/Short,CALM,XRP
HITS_Sen,117,-5.39,-15.87,0.3,0.3013,-20.96,-0.7572,36.99,1.0669,0.418,Long/Cash,CRISIS,XRP
HITS_Sen,117,-20.79,-51.66,0.3108,0.4116,-41.47,-1.2459,56.41,1.0441,0.416,Long/Short,CRISIS,XRP
LRR_Social_Sen,604,38.08,21.53,0.6236,0.7402,-59.12,0.3642,37.32,1.1428,0.229,Long/Cash,Full,XRP
LRR_Social_Sen,604,102.46,53.15,0.9253,1.3096,-70.25,0.7566,51.99,1.149,0.121,Long/Short,Full,XRP
LRR_Social_Sen,484,-23.1,-17.97,-0.1657,-0.2009,-63.42,-0.2833,36.18,0.9684,0.587,Long/Cash,CALM,XRP
LRR_Social_Sen,484,-30.83,-24.27,-0.0945,-0.1529,-67.65,-0.3588,48.97,0.987,0.554,Long/Short,CALM,XRP
LRR_Social_Sen,117,79.55,520.87,2.4874,2.5842,-14.75,35.3214,43.28,1.8196,0.077,Long/Cash,CRISIS,XRP
LRR_Social_Sen,117,178.07,2330.14,2.8833,3.8806,-32.89,70.8361,64.96,1.4943,0.045,Long/Short,CRISIS,XRP
LRR_Oracle_Sen,604,-24.17,-15.39,0.005,0.0069,-72.5,-0.2123,34.48,1.0011,0.465,Long/Cash,Full,XRP
LRR_Oracle_Sen,604,-38.58,-25.51,0.1121,0.1845,-80.16,-0.3183,49.67,1.017,0.428,Long/Short,Full,XRP
LRR_Oracle_Sen,484,-57.84,-47.87,-1.1258,-1.3043,-74.14,-0.6456,34.44,0.8057,0.906,Long/Cash,CALM,XRP
LRR_Oracle_Sen,484,-79.44,-69.66,-1.4848,-2.2623,-83.95,-0.8298,48.76,0.8135,0.963,Long/Short,CALM,XRP
LRR_Oracle_Sen,117,79.87,524.32,2.4135,4.2269,-25.01,20.9629,34.67,1.6971,0.067,Long/Cash,CRISIS,XRP
LRR_Oracle_Sen,117,183.76,2488.59,2.8924,5.4715,-38.14,65.2514,53.85,1.4941,0.041,Long/Short,CRISIS,XRP
